ap_latest_rank,ap_preseason_rank,avg_closing_spread,avg_closing_total,avg_cover_margin,avg_lines_per_game,avg_margin,avg_opponent_postgame_elo,avg_opponent_pregame_elo,avg_points_against,avg_points_for,avg_team_postgame_elo,avg_team_pregame_elo,cfp_latest_rank,cfp_preseason_rank,classification,coaches_latest_rank,coaches_preseason_rank,conference,defense_explosiveness_allowed,defense_havoc_created,defense_line_yards_allowed,defense_passing_down_success_rate_allowed,defense_points_per_opportunity_allowed,defense_ppa_allowed,defense_standard_down_success_rate_allowed,defense_success_rate_allowed,fbs_avg_margin,fbs_avg_opponent_postgame_elo,fbs_avg_opponent_pregame_elo,fbs_games,fbs_losses,fbs_margin_sum,fbs_opponent_postgame_elo_sum,fbs_opponent_pregame_elo_sum,fbs_win_pct,fbs_wins,games_played,games_with_lines,latest_team_postgame_elo,line_count_sum,losses,margin_sum,offense_explosiveness,offense_havoc_allowed,offense_line_yards,offense_passing_down_success_rate,offense_points_per_opportunity,offense_ppa,offense_standard_down_success_rate,offense_success_rate,opponent_postgame_elo_sum,opponent_pregame_elo_sum,points_against,points_for,recent_avg_cover_margin,recent_avg_margin,recent_fbs_avg_margin,recent_fbs_win_pct,recent_win_pct,talent,team,team_id,wepa_allowed_total,wepa_explosiveness,wepa_explosiveness_allowed,wepa_pass,wepa_rush,wepa_rush_line_yards,wepa_rush_line_yards_allowed,wepa_success_rate,wepa_success_rate_allowed,wepa_total,win_pct,wins
,,4.368,53.736,-2.965,2.833,-7.333,1460.083,1447.667,32.75,25.417,1374.583,1387.0,,,fbs,,,ACC,1.366442,0.123,2.882452,0.348739,3.821918,0.234613,0.461274,0.428571,-13.091,1592.818,1579.273,11,10,-144,17521.0,17372.0,0.0909,1,12,12,1359.0,34.0,10,-88,1.214214,0.165,2.737607,0.320312,3.394366,0.160762,0.477234,0.429918,17521.0,17372.0,393,305,1.37,-7.299,-8.889,0.2077,0.2271,650.12,Boston College,103,0.240671,0.926752,1.015423,0.2263,0.075372,2.790481,2.988235,0.428043,0.426141,0.149325,0.1667,2
,,-1.0,50.077,-2.846,2.923,-1.846,1398.769,1386.538,27.154,25.308,1438.615,1450.846,,,fbs,,,ACC,1.183362,0.151,3.256311,0.268817,3.689189,0.162322,0.491554,0.420207,-4.667,1515.333,1502.083,12,6,-56,18184.0,18025.0,0.5,6,13,13,1360.0,38.0,6,-24,1.243424,0.164,2.64274,0.337884,3.704225,0.124528,0.439683,0.407367,18184.0,18025.0,353,329,-1.292,-4.825,-5.89,0.5107,0.5244,726.21,California,25,0.194427,0.918124,0.980204,0.245401,-0.006514,2.643395,3.195061,0.406777,0.429912,0.125811,0.5385,7
12,4,-10.353,51.91,-3.66,2.923,6.692,1482.538,1486.462,20.538,27.231,1711.231,1707.308,,,fbs,11,6,ACC,1.34051,0.196,2.724234,0.286164,2.684211,0.094616,0.422662,0.372998,4.333,1606.083,1610.333,12,6,52,19273.0,19324.0,0.5,6,13,13,1758.0,38.0,6,87,1.219016,0.151,3.046684,0.287938,3.797468,0.177768,0.483516,0.427293,19273.0,19324.0,267,354,1.439,11.456,7.084,0.6712,0.7227,918.43,Clemson,228,0.111049,0.921249,0.953772,0.245854,0.099184,3.006867,2.861823,0.429962,0.370648,0.171562,0.5385,7
,,-4.69,55.399,0.452,2.929,5.143,1442.571,1449.429,29.429,34.571,1575.0,1568.143,,,fbs,,,ACC,1.337482,0.172,2.581425,0.338762,4.392857,0.223787,0.480858,0.435417,3.385,1553.538,1560.923,13,5,44,20196.0,20292.0,0.6154,8,14,14,1616.0,41.0,5,72,1.328089,0.154,2.831264,0.33218,4.315789,0.245005,0.511078,0.457557,20196.0,20292.0,412,484,1.734,4.617,4.174,0.6835,0.6894,669.18,Duke,150,0.210049,0.961596,0.986128,0.348497,0.086937,2.815247,2.652568,0.457519,0.43499,0.223839,0.6429,9
25,14,-11.764,54.903,-0.764,2.917,11.0,1376.167,1388.5,22.0,33.0,1566.417,1554.083,,,fbs,19,19,ACC,1.186273,0.155,3.01472,0.279835,4.12069,0.147502,0.461967,0.405371,5.273,1501.273,1514.727,11,7,58,16514.0,16662.0,0.3636,4,12,12,1556.0,35.0,7,132,1.355618,0.145,3.473542,0.390625,3.950617,0.300686,0.506803,0.471564,16514.0,16662.0,264,396,-6.402,2.379,0.43,0.2988,0.3174,828.45,Florida State,52,0.153818,0.991197,0.928818,0.290742,0.21565,3.367346,2.988203,0.481956,0.412046,0.257632,0.4167,5
24,18,-8.256,56.397,-1.103,2.923,7.154,1429.308,1433.846,25.0,32.154,1587.769,1583.231,22,17,fbs,22,24,ACC,1.244314,0.137,2.981623,0.286822,3.557143,0.193973,0.505922,0.43934,3.833,1548.417,1553.333,12,4,46,18581.0,18640.0,0.6667,8,13,13,1595.0,38.0,4,93,1.165208,0.118,3.362108,0.364486,3.611765,0.272107,0.53271,0.490654,18581.0,18640.0,325,418,-3.12,1.437,0.159,0.5086,0.522,715.56,Georgia Tech,59,0.185079,0.917491,0.97731,0.344075,0.168206,3.288989,3.02207,0.502681,0.440206,0.241634,0.6923,9
19,19,-10.833,51.853,-2.064,2.846,8.769,1447.385,1450.692,21.154,29.923,1725.846,1722.538,20,15,fbs,21,22,ACC,1.188775,0.173,2.768766,0.231834,3.375,0.059925,0.432916,0.364387,6.667,1568.0,1571.583,12,4,80,18816.0,18859.0,0.6667,8,13,13,1744.0,37.0,4,114,1.202111,0.166,2.811587,0.276596,3.62069,0.152607,0.516026,0.450524,18816.0,18859.0,275,389,-0.056,6.569,5.965,0.5524,0.562,700.77,Louisville,97,0.085136,0.989646,0.965524,0.198836,0.166395,2.878879,2.770216,0.461918,0.37461,0.166062,0.6923,9
10,10,-11.406,50.625,4.719,2.875,16.125,1608.438,1625.812,14.812,30.938,1888.062,1870.688,10,18,fbs,10,10,ACC,1.263713,0.189,2.477828,0.281915,2.5125,0.033815,0.403077,0.358674,14.4,1715.667,1734.2,15,3,216,25735.0,26013.0,0.8,12,16,16,1967.0,46.0,3,258,1.155633,0.121,3.126642,0.33935,4.355769,0.222531,0.513141,0.468401,25735.0,26013.0,237,495,5.975,19.989,19.446,0.8232,0.8275,874.57,Miami,2390,0.010636,0.880003,0.985146,0.410366,0.106185,3.103112,2.588032,0.484505,0.331825,0.227684,0.8125,13
,,-2.16,56.237,0.917,2.923,3.077,1472.077,1480.077,27.154,30.231,1501.0,1493.0,,,fbs,,,ACC,1.385051,0.149,2.928463,0.314754,3.702381,0.189043,0.441275,0.398446,-0.5,1594.75,1603.417,12,5,-6,19137.0,19241.0,0.5833,7,13,13,1525.0,38.0,5,40,1.374961,0.158,2.849624,0.311355,4.690141,0.244261,0.477954,0.42381,19137.0,19241.0,353,393,3.228,2.186,-0.282,0.6042,0.6253,707.51,NC State,152,0.171662,1.001526,0.990423,0.30799,0.136209,2.929738,2.872506,0.430185,0.385755,0.221557,0.6154,8
,,1.285,47.417,-3.965,2.917,-5.25,1358.417,1343.667,24.5,19.25,1379.167,1393.917,,,fbs,,,ACC,1.197348,0.148,2.789109,0.276423,3.575758,0.148726,0.472318,0.413835,-8.909,1481.909,1465.818,11,8,-98,16301.0,16124.0,0.2727,3,12,12,1320.0,35.0,8,-63,1.162313,0.167,2.766869,0.286385,3.327273,0.061444,0.431452,0.38787,16301.0,16124.0,294,231,-3.633,-7.096,-8.435,0.2429,0.2663,753.2,North Carolina,153,0.189176,0.912144,0.964505,0.224527,0.01545,2.815466,2.936714,0.397331,0.430644,0.089925,0.3333,4
24,23,-5.917,54.212,3.006,2.846,8.923,1444.923,1456.0,24.769,33.692,1603.154,1592.077,22,24,fbs,24,23,ACC,1.329666,0.189,2.329567,0.260188,3.805556,0.06996,0.410619,0.356335,5.333,1565.333,1577.333,12,5,64,18784.0,18928.0,0.5833,7,13,13,1631.0,37.0,5,116,1.343746,0.184,2.752073,0.314381,3.648936,0.173462,0.447059,0.402685,18784.0,18928.0,322,438,0.712,1.24,0.053,0.5663,0.5762,681.21,Pittsburgh,221,0.079739,0.948804,0.947501,0.272576,0.067739,2.819346,2.493822,0.408693,0.357522,0.155385,0.6154,8
25,16,-10.513,56.199,1.179,2.846,11.692,1409.385,1419.769,20.538,32.231,1751.846,1741.462,21,21,fbs,25,16,ACC,1.210444,0.188,2.790865,0.330189,2.786667,0.032548,0.426866,0.395749,10.25,1526.833,1538.083,12,4,123,18322.0,18457.0,0.6667,8,13,13,1851.0,37.0,4,152,1.370234,0.168,2.954617,0.325758,3.8875,0.248607,0.480737,0.433217,18322.0,18457.0,267,419,4.87,12.908,12.521,0.6454,0.6537,766.67,SMU,2567,0.066743,0.996416,0.913839,0.378884,0.127335,2.94785,2.915626,0.447834,0.394828,0.248163,0.6923,9
