ap_latest_rank,ap_preseason_rank,avg_closing_spread,avg_closing_total,avg_cover_margin,avg_lines_per_game,avg_margin,avg_opponent_postgame_elo,avg_opponent_pregame_elo,avg_points_against,avg_points_for,avg_team_postgame_elo,avg_team_pregame_elo,classification,coaches_latest_rank,coaches_preseason_rank,conference,defense_explosiveness_allowed,defense_havoc_created,defense_line_yards_allowed,defense_passing_down_success_rate_allowed,defense_points_per_opportunity_allowed,defense_ppa_allowed,defense_standard_down_success_rate_allowed,defense_success_rate_allowed,fbs_avg_margin,fbs_avg_opponent_postgame_elo,fbs_avg_opponent_pregame_elo,fbs_games,fbs_losses,fbs_margin_sum,fbs_opponent_postgame_elo_sum,fbs_opponent_pregame_elo_sum,fbs_win_pct,fbs_wins,games_played,games_with_lines,latest_team_postgame_elo,line_count_sum,losses,margin_sum,offense_explosiveness,offense_havoc_allowed,offense_line_yards,offense_passing_down_success_rate,offense_points_per_opportunity,offense_ppa,offense_standard_down_success_rate,offense_success_rate,opponent_postgame_elo_sum,opponent_pregame_elo_sum,points_against,points_for,recent_avg_cover_margin,recent_avg_margin,recent_fbs_avg_margin,recent_fbs_win_pct,recent_win_pct,talent,team,team_id,win_pct,wins
,,2.0,52.417,-4.0,3.0,-6.0,1443.5,1430.5,27.5,21.5,1375.0,1388.0,fbs,,,ACC,1.326688,0.154,3.351807,0.410256,3.692308,0.071258,0.395604,0.4,-6.0,1443.5,1430.5,2,1,-12,2887.0,2861.0,0.5,1,2,2,1380.0,6.0,1,-12,1.285002,0.182,3.045455,0.3125,3.777778,-0.029649,0.41573,0.379562,2887.0,2861.0,55,43,-3.351,-4.946,-4.946,0.5405,0.5405,660.0,Boston College,103,0.5,1
,,3.167,55.083,-5.833,3.0,-9.0,1362.5,1334.5,31.5,22.5,1349.5,1377.5,fbs,,,ACC,1.340727,0.15,3.446774,0.25,3.625,0.068025,0.5,0.414286,-9.0,1362.5,1334.5,2,1,-18,2725.0,2669.0,0.5,1,2,2,1350.0,6.0,1,-18,1.327771,0.174,2.414062,0.263158,3.454545,-0.080821,0.391304,0.342282,2725.0,2669.0,63,45,-4.806,-8.027,-8.027,0.5405,0.5405,751.92,California,25,0.5,1
,,-4.917,51.75,-17.917,3.0,-13.0,1552.0,1496.0,29.0,16.0,1549.5,1605.5,fbs,23,23,ACC,1.336484,0.155,3.343836,0.410714,3.214286,0.179589,0.428571,0.42236,-13.0,1552.0,1496.0,2,1,-26,3104.0,2992.0,0.5,1,2,2,1558.0,6.0,1,-26,0.981532,0.244,2.238983,0.185185,3.2,-0.187054,0.369863,0.291339,3104.0,2992.0,58,32,-16.856,-10.73,-10.73,0.5405,0.5405,862.85,Clemson,228,0.5,1
,,-1.333,51.333,7.667,3.0,9.0,1559.0,1575.0,15.0,24.0,1610.0,1594.0,fbs,,,ACC,0.984342,0.144,2.923636,0.166667,2.727273,-0.025119,0.505618,0.408,9.0,1559.0,1575.0,2,0,18,3118.0,3150.0,1.0,2,2,2,1613.0,6.0,0,18,1.237929,0.096,2.909524,0.26087,3.428571,0.0971,0.41573,0.362963,3118.0,3150.0,30,48,7.883,8.595,8.595,1.0,1.0,668.47,Duke,150,1.0,2
,,-14.0,53.667,-7.0,3.0,7.0,1497.5,1507.5,22.0,29.0,1554.0,1544.0,fbs,,,ACC,1.420966,0.157,3.154902,0.4,3.0,0.234092,0.47619,0.447761,7.0,1497.5,1507.5,2,1,14,2995.0,3015.0,0.5,1,2,2,1557.0,6.0,1,14,1.373829,0.134,3.306329,0.333333,5.272727,0.204198,0.445652,0.410448,2995.0,3015.0,44,58,-7.0,7.0,7.0,0.5,0.5,800.2,Florida State,52,0.5,1
,,3.0,54.333,-8.0,3.0,-11.0,1567.5,1543.5,29.5,18.5,1534.0,1558.0,fbs,,,ACC,1.247371,0.151,3.184444,0.333333,4.0,0.140452,0.442105,0.40411,-11.0,1567.5,1543.5,2,2,-22,3135.0,3087.0,0.0,0,2,2,1515.0,6.0,2,-22,1.085447,0.214,2.985185,0.325581,1.769231,-0.006181,0.46988,0.420635,3135.0,3087.0,59,37,-8.041,-11.811,-11.811,0.0,0.0,751.65,Georgia Tech,59,0.0,0
23,24,-16.167,55.833,5.333,3.0,21.5,918.5,919.5,27.0,48.5,1668.0,1667.0,fbs,,,ACC,1.242227,0.148,2.554412,0.191489,4.0,0.122772,0.463158,0.373239,-3.0,1837.0,1839.0,1,1,-3,1837.0,1839.0,0.0,0,2,2,1668.0,6.0,1,43,1.339774,0.104,3.063014,0.378378,5.357143,0.451325,0.608247,0.544776,1837.0,1839.0,54,97,5.482,23.486,-3.0,0.0,0.5405,739.97,Louisville,97,0.5,1
5,7,-42.0,56.25,12.5,3.0,54.5,677.0,706.5,6.5,61.0,1915.5,1886.0,fbs,5,7,ACC,0.924972,0.142,2.3,0.142857,1.5,-0.083915,0.394366,0.300885,39.0,1354.0,1413.0,1,0,39,1354.0,1413.0,1.0,1,2,2,1930.0,6.0,0,109,1.33071,0.049,4.062338,0.347826,5.4,0.548914,0.677686,0.625,1354.0,1413.0,13,122,12.338,55.757,39.0,1.0,1.0,885.94,Miami,2390,1.0,2
,,-14.667,50.5,8.833,3.0,23.5,827.5,795.5,17.0,40.5,1507.5,1539.5,fbs,,,ACC,1.068972,0.156,2.624675,0.176471,3.0,0.001209,0.465909,0.385246,-26.0,1655.0,1591.0,1,1,-26,1655.0,1591.0,0.0,0,2,2,1509.0,6.0,1,47,1.215048,0.172,3.727692,0.333333,6.0,0.312573,0.595506,0.52459,1655.0,1591.0,34,81,11.333,27.514,-26.0,0.0,0.5405,757.14,NC State,152,0.5,1
,,-14.167,50.667,4.333,3.0,18.5,797.5,806.5,6.5,25.0,1396.5,1387.5,fbs,,,ACC,0.878489,0.137,2.751515,0.1875,1.3,-0.12124,0.483516,0.381295,5.0,1595.0,1613.0,1,0,5,1595.0,1613.0,1.0,1,2,2,1395.0,6.0,0,37,1.032375,0.124,3.826415,0.371429,4.363636,0.236014,0.576923,0.513274,1595.0,1613.0,13,50,3.671,19.595,5.0,1.0,1.0,767.89,North Carolina,153,1.0,2
,,-11.75,51.333,13.25,3.0,25.0,1363.5,1414.5,10.5,35.5,1679.5,1628.5,fbs,,,ACC,1.490242,0.186,1.260526,0.22449,2.8,-0.081402,0.359375,0.300885,25.0,1363.5,1414.5,2,0,50,2727.0,2829.0,1.0,2,2,2,1678.0,6.0,0,50,1.230897,0.094,2.63662,0.4375,3.428571,0.197844,0.465347,0.456376,2727.0,2829.0,21,71,12.0,23.378,23.378,1.0,1.0,675.02,Pittsburgh,221,1.0,2
16,19,-17.75,56.417,6.75,3.0,24.5,778.5,775.5,17.0,41.5,1731.0,1734.0,fbs,16,20,ACC,1.284263,0.183,2.9375,0.232558,3.4,-0.084622,0.375,0.328244,3.0,1557.0,1551.0,1,0,3,1557.0,1551.0,1.0,1,2,2,1734.0,6.0,0,49,1.428174,0.139,2.966038,0.363636,3.928571,0.458771,0.629213,0.557377,1557.0,1551.0,34,83,7.297,26.243,3.0,1.0,1.0,764.5,SMU,2567,1.0,2
,,9.917,47.5,-4.583,3.0,-14.5,1675.0,1657.0,36.0,21.5,1383.5,1401.5,fbs,,,ACC,1.315674,0.124,2.922642,0.358491,6.083333,0.244585,0.5,0.448276,-14.5,1675.0,1657.0,2,1,-29,3350.0,3314.0,0.5,1,2,2,1354.0,6.0,1,-29,1.145721,0.094,2.886441,0.227273,3.090909,0.165287,0.473684,0.395683,3350.0,3314.0,72,43,-4.583,-14.5,-14.5,0.5,0.5,705.81,Stanford,24,0.5,1
,,-19.5,56.417,10.5,3.0,30.0,675.0,674.5,12.0,42.0,1287.5,1288.0,fbs,,,ACC,1.008326,0.203,1.890909,0.192308,1.888889,-0.253791,0.394366,0.308943,-3.0,1350.0,1349.0,1,1,-3,1350.0,1349.0,0.0,0,2,2,1287.0,6.0,1,60,1.362757,0.115,2.939726,0.339286,4.157895,0.090618,0.458716,0.418182,1350.0,1349.0,24,84,9.095,27.324,-3.0,0.0,0.4595,745.61,Syracuse,183,0.5,1
