week_label,game_type,away_team,home_team,actual_home_margin,model_home_margin,market_home_margin,absolute_model_error,absolute_market_error,edge_bucket,edge_pick_team,edge_result
Week 2,FCS involved,Montana State,Nevada,-13.0,31.45,-4.83,44.45,8.17,15+,Nevada,wrong_side
Week 1,FCS involved,Idaho State,Utah State,-12.0,31.92,15.17,43.92,27.17,15+,Utah State,wrong_side
Week 2,FCS involved,Wagner,James Madison,84.0,40.09,46.5,43.91,37.5,5-7.5,Wagner,wrong_side
Week 1,FCS involved,Northwestern State,Louisiana Tech,74.0,31.63,44.5,42.37,29.5,10-15,Northwestern State,wrong_side
Week 2,FCS involved,Gardner-Webb,Liberty,1.0,41.02,28.83,40.02,27.83,10-15,Liberty,wrong_side
Week 1,FCS involved,Tarleton State,Bowling Green,-7.0,30.37,1.67,37.37,8.67,15+,Bowling Green,wrong_side
Week 2,FBS vs FBS,Sacramento State,Fresno State,46.0,9.48,17.83,36.52,28.17,7.5-10,Sacramento State,wrong_side
Week 2,FBS vs FBS,UNLV,North Texas,38.0,1.91,-2.83,36.09,40.83,2.5-5,North Texas,right_side
Week 1,FBS vs FBS,Miami (OH),Pittsburgh,45.0,8.94,16.33,36.06,28.67,5-7.5,Miami (OH),wrong_side
Week 2,FCS involved,Illinois State,Northern Illinois,-4.0,29.46,-2.5,33.46,1.5,15+,Northern Illinois,wrong_side
Week 1,FBS vs FBS,Kent State,South Carolina,57.0,24.06,35.83,32.94,21.17,10-15,Kent State,wrong_side
Week 1,FBS vs FBS,Western Kentucky,Nevada,35.0,2.49,-0.67,32.51,35.67,2.5-5,Nevada,right_side
Week 1,FCS involved,The Citadel,Charlotte,-2.0,30.17,20.5,32.17,22.5,7.5-10,Charlotte,wrong_side
Week 2,FCS involved,Richmond,NC State,73.0,41.63,33.33,31.37,39.67,7.5-10,NC State,right_side
Week 2,FCS involved,Southern,Houston,71.0,40.12,51.67,30.88,19.33,10-15,Southern,wrong_side
Week 2,FBS vs FBS,Bowling Green,Nebraska,49.0,18.63,30.5,30.37,18.5,10-15,Bowling Green,wrong_side
Week 1,FBS vs FBS,Clemson,LSU,41.0,10.86,10.0,30.14,31.0,0-2.5,LSU,right_side
Week 1,FBS vs FBS,Massachusetts,Rutgers,-16.0,13.38,29.33,29.38,45.33,15+,Massachusetts,right_side
