conference,teams,team_games,average_ats_cover_rate,average_model_bias_margin,average_model_margin_mae,average_market_margin_mae
FBS Independents,2,6,0.6667,-7.24,16.504,15.223
Mountain West,10,31,0.4166,3.2,14.846,12.04
Mid-American,13,41,0.4167,7.784,14.845,11.593
Big Ten,18,54,0.5324,-2.203,13.511,11.777
Pac-12,8,24,0.5417,2.326,13.188,13.34
SEC,16,48,0.4792,-2.891,12.939,11.656
Big 12,16,48,0.5833,-4.885,11.936,11.101
Conference USA,10,31,0.65,1.781,11.008,11.435
ACC,17,51,0.4902,-1.613,10.957,11.009
Sun Belt,14,42,0.5714,-0.082,10.698,11.258
American Athletic,14,41,0.5714,1.179,8.716,8.965
