week_label,game_type,away_team,home_team,model_favorite,market_favorite,winner_model_result,winner_market_result,model_home_margin,market_home_margin,actual_home_margin,absolute_model_error,absolute_market_error
Week 2,FCS involved,Montana State,Nevada,Nevada,Montana State,wrong,correct,35.59,-4.83,-13.0,48.59,8.17
Week 2,FBS vs FBS,UNLV,North Texas,North Texas,UNLV,correct,wrong,5.03,-2.83,38.0,32.97,40.83
Week 2,FCS involved,Illinois State,Northern Illinois,Northern Illinois,Illinois State,wrong,correct,24.29,-2.5,-4.0,28.29,1.5
Week 1,FBS vs FBS,Western Kentucky,Nevada,Nevada,Western Kentucky,correct,wrong,11.25,-0.67,35.0,23.75,35.67
Week 2,FBS vs FBS,Mississippi State,Minnesota,Mississippi State,Minnesota,correct,wrong,-9.03,0.33,-25.0,15.97,25.33
Week 1,FBS vs FBS,Oklahoma State,Tulsa,Tulsa,Oklahoma State,correct,wrong,0.56,-13.33,14.0,13.44,27.33
Week 2,FBS vs FBS,Georgia State,Kennesaw State,Georgia State,Kennesaw State,correct,wrong,-2.41,7.33,-14.0,11.59,21.33
Week 3,FBS vs FBS,Wyoming,Central Michigan,Central Michigan,Wyoming,correct,wrong,3.63,-1.67,14.0,10.37,15.67
Week 3,FBS vs FBS,LSU,Ole Miss,Ole Miss,LSU,correct,wrong,0.14,-2.83,8.0,7.86,10.83
Week 2,FBS vs FBS,Navy,Florida Atlantic,Florida Atlantic,Navy,correct,wrong,0.17,-4.33,8.0,7.83,12.33
Week 3,FBS vs FBS,Mississippi State,South Carolina,Mississippi State,South Carolina,correct,wrong,-0.58,3.0,-7.0,6.42,10.0
Week 3,FBS vs FBS,James Madison,San Diego State,James Madison,San Diego State,correct,wrong,-6.95,2.83,-13.0,6.05,15.83
Week 2,FBS vs FBS,Oklahoma,Michigan,Michigan,Oklahoma,correct,wrong,1.17,-5.17,7.0,5.83,12.17
Week 0,FBS vs FBS,Memphis,UNLV,Memphis,UNLV,correct,wrong,-0.59,4.5,-6.0,5.41,10.5
Week 2,FBS vs FBS,UTSA,Texas State,UTSA,Texas State,correct,wrong,-0.3,1.83,-5.0,4.7,6.83
Week 1,FBS vs FBS,San José State,Eastern Michigan,San José State,Eastern Michigan,correct,wrong,-3.71,1.5,-6.0,2.29,7.5
Week 3,FBS vs FBS,East Carolina,Old Dominion,East Carolina,Old Dominion,correct,wrong,-0.99,2.5,-3.0,2.01,5.5
Week 2,FBS vs FBS,South Florida,Army,South Florida,Army,correct,wrong,-4.92,3.0,-4.0,0.92,7.0
