split,value,games,edge_hit_rate,model_better_than_market_rate,model_margin_mae,market_margin_mae,average_edge
Game Type,FBS vs FBS,100,0.53,0.47,13.229,12.208,6.521
Game Type,FCS involved,85,0.4824,0.3882,15.28,12.822,8.746
Pick Role,favorite,63,0.6508,0.5556,13.479,13.056,8.299
Pick Role,underdog,122,0.4344,0.3689,14.529,12.198,7.153
Pick Site,away,105,0.4286,0.3619,14.024,11.806,6.554
Pick Site,home,76,0.6316,0.5395,14.719,13.715,9.134
Pick Site,neutral,4,0.25,0.25,7.617,7.168,3.285
Week,Week 0,8,0.625,0.625,10.956,13.374,5.515
Week,Week 1,91,0.4615,0.3516,15.785,13.568,8.067
Week,Week 2,86,0.5465,0.5,12.763,11.267,7.178
