team,conference,games,ats_cover_rate,average_ats_margin,average_model_bias_margin,model_edge_picks,edge_pick_hit_rate,model_margin_mae,market_margin_mae
Montana State,,1,1.0,8.17,-44.45,0,0.0,44.45,8.17
Idaho State,,1,1.0,27.17,-43.92,0,0.0,43.92,27.17
Wagner,,1,0.0,-37.5,43.91,1,0.0,43.91,37.5
Northwestern State,,1,0.0,-29.5,42.37,1,0.0,42.37,29.5
Gardner-Webb,,1,1.0,27.83,-40.02,0,0.0,40.02,27.83
Tarleton State,,1,1.0,8.67,-37.37,0,0.0,37.37,8.67
Bowling Green,Mid-American,2,0.0,-13.585,33.87,2,0.0,33.87,13.585
Illinois State,,1,1.0,1.5,-33.46,0,0.0,33.46,1.5
The Citadel,,1,1.0,22.5,-32.17,0,0.0,32.17,22.5
Richmond,,1,0.0,-39.67,31.37,0,0.0,31.37,39.67
Southern,,1,0.0,-19.33,30.88,1,0.0,30.88,19.33
Bethune-Cookman,,1,0.0,-23.5,29.32,1,0.0,29.32,23.5
VMI,,1,0.0,-15.5,28.9,1,0.0,28.9,15.5
UAlbany,,1,1.0,14.5,-28.32,0,0.0,28.32,14.5
Colgate,,1,1.0,15.5,-28.16,0,0.0,28.16,15.5
Bryant,,1,0.0,-18.67,28.06,1,0.0,28.06,18.67
Western Kentucky,Conference USA,2,0.0,-22.67,27.61,1,0.0,27.61,22.67
Arkansas,SEC,2,0.0,-21.835,27.225,2,0.0,27.225,21.835
Northern Illinois,Mountain West,2,0.0,-4.915,26.675,2,0.0,26.675,4.915
Central Michigan,Mid-American,2,0.0,-17.75,26.39,2,0.0,26.39,17.75
New Mexico,Mountain West,2,1.0,20.335,-26.29,0,0.0,26.29,20.335
New Hampshire,,1,0.0,-27.83,25.78,0,0.0,25.78,27.83
North Alabama,,1,1.0,23.5,-25.51,0,0.0,25.51,23.5
Nicholls,,1,0.0,-26.67,25.37,0,0.0,25.37,26.67
Austin Peay,,1,1.0,10.0,-25.25,0,0.0,25.25,10.0
James Madison,Sun Belt,2,1.0,19.25,-24.67,0,0.0,24.67,19.25
Abilene Christian,,1,1.0,22.17,-24.45,0,0.0,24.45,22.17
Northern Colorado,,1,1.0,15.5,-23.75,0,0.0,23.75,15.5
Northwestern,Big Ten,1,1.0,2.5,23.66,1,1.0,23.66,2.5
South Dakota State,,1,0.0,-2.5,-23.66,0,0.0,23.66,2.5
Mississippi State,SEC,2,1.0,22.915,-23.405,1,1.0,23.405,22.915
Liberty,Conference USA,2,0.0,-14.415,22.725,2,0.0,22.725,14.415
Miami,ACC,2,1.0,12.5,-22.37,0,0.0,22.37,12.5
Cal Poly,,1,1.0,11.5,-22.35,0,0.0,22.35,11.5
Maryland,Big Ten,2,1.0,14.5,-22.215,0,0.0,22.215,14.5
Hampton,,1,0.0,-16.5,21.96,1,0.0,21.96,16.5
Mississippi Valley State,,1,0.0,-14.0,21.79,1,0.0,21.79,14.0
Morgan State,,1,0.0,-19.0,21.75,1,0.0,21.75,19.0
Kansas State,Big 12,2,1.0,18.0,-21.23,1,1.0,21.23,18.0
Oregon,Big Ten,2,0.0,-24.835,21.17,0,0.0,21.17,24.835
Wyoming,Mountain West,2,0.0,-17.415,20.335,1,0.0,20.335,17.415
Virginia Tech,ACC,2,1.0,10.415,-20.1,0,0.0,20.1,10.415
Mercyhurst,,2,0.0,-14.25,19.69,2,0.0,19.69,14.25
Kent State,Mid-American,2,0.5,-5.25,19.46,2,0.5,19.46,15.92
Charlotte,American Athletic,2,0.5,-5.0,19.015,2,0.5,19.015,17.5
Nebraska,Big Ten,2,1.0,11.415,-18.9,0,0.0,18.9,11.415
Buffalo,Mid-American,2,0.0,-9.415,18.785,2,0.0,18.785,9.415
Maine,,1,0.0,-31.17,18.78,0,0.0,18.78,31.17
Virginia,ACC,2,1.0,15.335,-18.545,0,0.0,18.545,15.335
Utah,Big 12,2,1.0,17.085,-18.435,1,1.0,18.435,17.085
Army,American Athletic,2,0.5,5.835,-18.4,0,0.0,18.4,12.835
LSU,SEC,2,0.5,13.665,-18.28,1,1.0,18.28,17.335
Rutgers,Big Ten,2,0.0,-24.665,18.19,1,0.0,18.19,24.665
Florida A&M,,1,0.0,-10.5,18.16,1,0.0,18.16,10.5
Louisiana Tech,Sun Belt,2,1.0,16.585,-17.975,1,1.0,24.395,16.585
Alabama State,,1,1.0,6.67,-17.8,0,0.0,17.8,6.67
North Carolina A&T,,1,0.0,-20.67,17.74,0,0.0,17.74,20.67
Pittsburgh,ACC,2,0.5,13.25,-17.665,0,0.0,18.395,15.42
Central Connecticut,,1,0.0,-16.5,17.5,1,0.0,17.5,16.5
Texas A&M,SEC,2,1.0,11.915,-17.28,1,1.0,17.28,11.915
Texas State,Pac-12,2,0.0,-14.665,16.87,1,0.0,16.87,14.665
Alabama,SEC,2,1.0,14.665,-16.615,1,1.0,16.615,14.665
Georgia State,Sun Belt,2,1.0,21.0,-16.595,2,1.0,16.595,21.0
Notre Dame,FBS Independents,2,1.0,7.25,-16.39,0,0.0,16.39,7.25
Miami (OH),Mid-American,2,0.5,-10.585,16.265,2,0.5,19.795,18.085
Penn State,Big Ten,2,0.5,7.67,-16.08,0,0.0,16.08,14.0
Houston,Big 12,2,0.5,5.75,-15.86,0,0.0,15.86,13.58
Vanderbilt,SEC,2,0.0,-10.835,15.855,1,0.0,15.855,10.835
Western Illinois,,1,1.0,16.33,-15.47,1,1.0,15.47,16.33
UCF,Big 12,2,1.0,12.835,-15.025,1,1.0,15.025,12.835
Massachusetts,Mid-American,2,1.0,24.415,-14.965,2,1.0,14.965,24.415
Western Carolina,,1,0.0,-15.5,14.85,0,0.0,14.85,15.5
Cincinnati,Big 12,2,1.0,13.75,-14.515,1,1.0,14.515,13.75
Marshall,Sun Belt,2,0.0,-16.0,14.38,1,0.0,14.38,16.0
Texas,SEC,2,0.5,10.585,-14.28,0,0.0,14.28,11.915
UCLA,Big Ten,2,1.0,11.5,-14.17,0,0.0,14.17,11.5
Boise State,Pac-12,2,1.0,13.17,-14.01,1,1.0,14.01,13.17
Texas Tech,Big 12,2,0.0,-18.335,13.97,1,0.0,13.97,18.335
Clemson,ACC,2,0.0,-17.915,13.925,0,0.0,16.215,17.915
Northern Arizona,,1,1.0,4.5,-13.77,0,0.0,13.77,4.5
