year,week,home_team,away_team,model_home_margin,market_home_margin,actual_home_margin,football_home_margin,market_component_home_margin,model_vs_market_error,model_vs_actual_error,actual_vs_market_error
2025,2,Iowa State,Iowa,1.549,2.667,3.0,1.9,1.023,-1.117,-1.451,0.333
2025,2,Missouri,Kansas,0.958,6.333,11.0,-0.515,3.168,-5.375,-10.042,4.667
2025,2,Oklahoma,Michigan,-1.94,3.5,11.0,0.124,-5.035,-5.44,-12.94,7.5
2025,2,UNLV,UCLA,15.09,-2.5,7.0,17.448,11.554,17.59,8.09,9.5
2025,2,Mississippi State,Arizona State,-3.216,-5.75,4.0,-3.257,-3.155,2.534,-7.216,9.75
2025,2,Washington State,San Diego State,8.223,2.25,23.0,8.223,8.223,5.973,-14.777,20.75
2025,2,Louisville,James Madison,7.99,15.25,14.0,7.99,7.99,-7.26,-6.01,-1.25
2025,2,Maryland,Northern Illinois,9.184,16.75,11.0,10.777,6.793,-7.566,-1.816,-5.75
2025,2,Syracuse,UConn,5.078,7.25,7.0,4.453,6.014,-2.172,-1.922,-0.25
2025,2,SMU,Baylor,9.598,2.75,-3.0,10.72,7.914,6.848,12.598,-5.75
2025,2,Duke,Illinois,1.035,-2.5,-26.0,1.035,1.035,3.535,27.035,-23.5
2025,2,Penn State,Florida International,29.659,41.75,34.0,28.399,31.548,-12.091,-4.341,-7.75
2025,2,Florida,South Florida,7.564,18.5,-2.0,4.116,12.737,-10.936,9.564,-20.5
2025,2,Michigan State,Boston College,2.774,3.5,2.0,1.962,3.991,-0.726,0.774,-1.5
2025,2,UTSA,Texas State,-3.294,4.5,-7.0,-3.58,-2.864,-7.794,3.706,-11.5
2025,2,Kentucky,Ole Miss,-12.688,-7.75,-7.0,-12.604,-12.814,-4.938,-5.688,0.75
2025,2,Texas Tech,Kent State,23.31,48.0,48.0,23.31,23.31,-24.69,-24.69,0.0
2025,2,Pittsburgh,Central Michigan,10.163,21.5,28.0,8.721,12.326,-11.337,-17.837,6.5
2025,2,Indiana,Kennesaw State,22.38,35.5,47.0,19.398,26.854,-13.12,-24.62,11.5
2025,2,Jacksonville State,Liberty,3.079,-6.25,10.0,4.783,0.523,9.329,-6.921,16.25
2025,2,Cincinnati,Bowling Green,3.138,22.0,14.0,3.735,2.242,-18.862,-10.862,-8.0
2025,2,BYU,Stanford,14.391,20.5,24.0,14.764,13.831,-6.109,-9.609,3.5
2025,2,Ohio,West Virginia,3.302,-3.5,7.0,4.699,1.208,6.802,-3.698,10.5
2025,2,Texas,San José State,22.346,36.75,31.0,23.07,21.26,-14.404,-8.654,-5.75
2025,2,NC State,Virginia,0.204,2.75,4.0,-2.525,4.297,-2.546,-3.796,1.25
2025,2,Texas A&M,Utah State,18.445,34.5,22.0,16.699,21.065,-16.055,-3.555,-12.5
2025,2,Arkansas,Arkansas State,11.733,24.0,42.0,11.733,11.733,-12.267,-30.267,18.0
2025,2,Western Michigan,North Texas,-3.517,-12.25,-3.0,-2.705,-4.734,8.733,-0.517,9.25
2025,2,Rice,Houston,0.823,-13.5,-26.0,2.064,-1.038,14.323,26.823,-12.5
2025,2,Georgia State,Memphis,-11.302,-15.0,-22.0,-11.009,-11.742,3.698,10.698,-7.0
2025,2,Wisconsin,Middle Tennessee,18.262,28.5,32.0,17.807,18.945,-10.238,-13.738,3.5
