years,prior_decay_games,min_prior_weight,prior_scale,games,weighted_model_vs_market_mae,weighted_model_vs_market_corr
"2023,2024,2025",2.5,0.0,14.0,2125,5.0635,0.8842
"2023,2024,2025",2.5,0.05,14.0,2125,5.0645,0.8841
"2023,2024,2025",2.5,0.08,14.0,2125,5.0687,0.884
"2023,2024,2025",2.5,0.12,14.0,2125,5.0792,0.8838
"2023,2024,2025",2.5,0.0,12.0,2125,5.1041,0.8847
"2023,2024,2025",2.5,0.05,12.0,2125,5.1046,0.8848
"2023,2024,2025",2.5,0.08,12.0,2125,5.1085,0.8847
"2023,2024,2025",2.5,0.12,12.0,2125,5.1193,0.8844
"2023,2024,2025",2.5,0.0,10.0,2125,5.1482,0.885
"2023,2024,2025",2.5,0.05,10.0,2125,5.1482,0.885
"2023,2024,2025",2.5,0.08,10.0,2125,5.152,0.8849
"2023,2024,2025",2.5,0.12,10.0,2125,5.1636,0.8848
"2023,2024,2025",2.5,0.05,8.0,2125,5.1959,0.8847
"2023,2024,2025",2.5,0.0,8.0,2125,5.1961,0.8846
"2023,2024,2025",2.5,0.08,8.0,2125,5.1993,0.8846
"2023,2024,2025",2.5,0.12,8.0,2125,5.2128,0.8846
"2023,2024,2025",4.0,0.08,14.0,2125,5.2998,0.8764
"2023,2024,2025",4.0,0.0,14.0,2125,5.2999,0.8763
"2023,2024,2025",4.0,0.05,14.0,2125,5.2999,0.8763
"2023,2024,2025",4.0,0.12,14.0,2125,5.301,0.8763
"2023,2024,2025",4.0,0.08,12.0,2125,5.3576,0.8785
"2023,2024,2025",4.0,0.0,12.0,2125,5.3577,0.8785
"2023,2024,2025",4.0,0.05,12.0,2125,5.3577,0.8785
"2023,2024,2025",4.0,0.12,12.0,2125,5.3586,0.8785
"2023,2024,2025",4.0,0.08,10.0,2125,5.4216,0.8805
"2023,2024,2025",4.0,0.0,10.0,2125,5.4217,0.8805
"2023,2024,2025",4.0,0.05,10.0,2125,5.4217,0.8805
"2023,2024,2025",4.0,0.12,10.0,2125,5.4231,0.8805
"2023,2024,2025",5.0,0.0,14.0,2125,5.4437,0.8702
"2023,2024,2025",5.0,0.05,14.0,2125,5.4437,0.8702
"2023,2024,2025",5.0,0.08,14.0,2125,5.4437,0.8702
"2023,2024,2025",5.0,0.12,14.0,2125,5.4437,0.8702
"2023,2024,2025",4.0,0.08,8.0,2125,5.4928,0.8816
"2023,2024,2025",4.0,0.0,8.0,2125,5.4929,0.8816
"2023,2024,2025",4.0,0.05,8.0,2125,5.4929,0.8816
"2023,2024,2025",4.0,0.12,8.0,2125,5.4947,0.8817
"2023,2024,2025",5.0,0.12,12.0,2125,5.5133,0.8734
"2023,2024,2025",5.0,0.0,12.0,2125,5.5135,0.8734
"2023,2024,2025",5.0,0.05,12.0,2125,5.5135,0.8734
"2023,2024,2025",5.0,0.08,12.0,2125,5.5135,0.8734
"2023,2024,2025",5.0,0.12,10.0,2125,5.5899,0.8763
"2023,2024,2025",5.0,0.0,10.0,2125,5.59,0.8763
"2023,2024,2025",5.0,0.05,10.0,2125,5.59,0.8763
"2023,2024,2025",5.0,0.08,10.0,2125,5.59,0.8763
"2023,2024,2025",6.5,0.0,14.0,2125,5.6339,0.8607
"2023,2024,2025",6.5,0.05,14.0,2125,5.6339,0.8607
"2023,2024,2025",6.5,0.08,14.0,2125,5.6339,0.8607
"2023,2024,2025",6.5,0.12,14.0,2125,5.6339,0.8607
"2023,2024,2025",5.0,0.12,8.0,2125,5.6766,0.8788
"2023,2024,2025",5.0,0.0,8.0,2125,5.6767,0.8788
"2023,2024,2025",5.0,0.05,8.0,2125,5.6767,0.8788
"2023,2024,2025",5.0,0.08,8.0,2125,5.6767,0.8788
"2023,2024,2025",6.5,0.0,12.0,2125,5.7176,0.8652
"2023,2024,2025",6.5,0.05,12.0,2125,5.7176,0.8652
"2023,2024,2025",6.5,0.08,12.0,2125,5.7176,0.8652
"2023,2024,2025",6.5,0.12,12.0,2125,5.7176,0.8652
"2023,2024,2025",6.5,0.0,10.0,2125,5.8134,0.8698
"2023,2024,2025",6.5,0.05,10.0,2125,5.8134,0.8698
"2023,2024,2025",6.5,0.08,10.0,2125,5.8134,0.8698
"2023,2024,2025",6.5,0.12,10.0,2125,5.8134,0.8698
"2023,2024,2025",6.5,0.0,8.0,2125,5.9246,0.8738
"2023,2024,2025",6.5,0.05,8.0,2125,5.9246,0.8738
"2023,2024,2025",6.5,0.08,8.0,2125,5.9246,0.8738
"2023,2024,2025",6.5,0.12,8.0,2125,5.9246,0.8738
