years,prior_decay_games,min_prior_weight,prior_scale,ridge_alpha,games,market_weight,actual_weight,weighted_model_vs_market_mae,weighted_model_vs_actual_mae,weighted_blended_mae,weighted_model_vs_market_corr
"2023,2024,2025",2.5,0.0,14.0,0.75,2125,0.8,0.2,4.9558,13.2,6.6046,0.8882
"2023,2024,2025",2.5,0.0,14.0,0.1,2125,0.8,0.2,4.9574,13.1977,6.6055,0.886
"2023,2024,2025",2.5,0.05,14.0,0.1,2125,0.8,0.2,4.9576,13.1986,6.6058,0.886
"2023,2024,2025",2.5,0.05,14.0,0.75,2125,0.8,0.2,4.9574,13.202,6.6063,0.8881
"2023,2024,2025",2.5,0.0,14.0,0.5,2125,0.8,0.2,4.9596,13.2026,6.6082,0.8878
"2023,2024,2025",2.5,0.0,14.0,1.0,2125,0.8,0.2,4.96,13.205,6.609,0.8883
"2023,2024,2025",2.5,0.08,14.0,0.1,2125,0.8,0.2,4.9615,13.1995,6.6091,0.8858
"2023,2024,2025",2.5,0.05,14.0,0.5,2125,0.8,0.2,4.9608,13.2042,6.6095,0.8878
"2023,2024,2025",2.5,0.0,14.0,0.2,2125,0.8,0.2,4.9625,13.2008,6.6102,0.8868
"2023,2024,2025",2.5,0.05,14.0,0.2,2125,0.8,0.2,4.9631,13.2017,6.6108,0.8868
"2023,2024,2025",2.5,0.05,14.0,1.0,2125,0.8,0.2,4.9618,13.2074,6.6109,0.8883
"2023,2024,2025",2.5,0.0,14.0,0.35,2125,0.8,0.2,4.9627,13.2034,6.6109,0.8874
"2023,2024,2025",2.5,0.08,14.0,0.75,2125,0.8,0.2,4.9627,13.2049,6.6112,0.888
"2023,2024,2025",2.5,0.05,14.0,0.35,2125,0.8,0.2,4.9636,13.2047,6.6118,0.8874
"2023,2024,2025",2.5,0.08,14.0,0.5,2125,0.8,0.2,4.9655,13.2064,6.6136,0.8876
"2023,2024,2025",2.5,0.08,14.0,0.2,2125,0.8,0.2,4.967,13.203,6.6142,0.8867
"2023,2024,2025",2.5,0.08,14.0,0.35,2125,0.8,0.2,4.968,13.2065,6.6157,0.8872
"2023,2024,2025",2.5,0.08,14.0,1.0,2125,0.8,0.2,4.9677,13.2108,6.6164,0.8881
"2023,2024,2025",2.5,0.12,14.0,0.1,2125,0.8,0.2,4.9721,13.2016,6.618,0.8856
"2023,2024,2025",2.5,0.12,14.0,0.2,2125,0.8,0.2,4.9778,13.2055,6.6234,0.8863
"2023,2024,2025",2.5,0.12,14.0,0.75,2125,0.8,0.2,4.9771,13.2096,6.6236,0.8875
"2023,2024,2025",2.5,0.12,14.0,0.5,2125,0.8,0.2,4.978,13.2101,6.6244,0.8872
"2023,2024,2025",2.5,0.12,14.0,0.35,2125,0.8,0.2,4.9795,13.2096,6.6255,0.8869
"2023,2024,2025",2.5,0.12,14.0,1.0,2125,0.8,0.2,4.9836,13.2165,6.6302,0.8877
"2023,2024,2025",2.5,0.0,12.0,0.1,2125,0.8,0.2,5.0084,13.223,6.6513,0.8856
"2023,2024,2025",2.5,0.05,12.0,0.1,2125,0.8,0.2,5.0085,13.2237,6.6516,0.8856
"2023,2024,2025",2.5,0.0,12.0,0.75,2125,0.8,0.2,5.0114,13.2235,6.6538,0.8884
"2023,2024,2025",2.5,0.08,12.0,0.1,2125,0.8,0.2,5.0121,13.2247,6.6546,0.8856
"2023,2024,2025",2.5,0.05,12.0,0.75,2125,0.8,0.2,5.0124,13.2254,6.655,0.8884
"2023,2024,2025",2.5,0.0,12.0,0.2,2125,0.8,0.2,5.0134,13.2237,6.6555,0.8866
"2023,2024,2025",2.5,0.05,12.0,0.2,2125,0.8,0.2,5.0136,13.2247,6.6558,0.8866
"2023,2024,2025",2.5,0.0,12.0,0.5,2125,0.8,0.2,5.0149,13.2251,6.657,0.8879
"2023,2024,2025",2.5,0.0,12.0,1.0,2125,0.8,0.2,5.0146,13.2285,6.6574,0.8886
"2023,2024,2025",2.5,0.05,12.0,0.5,2125,0.8,0.2,5.0157,13.2267,6.6579,0.8878
"2023,2024,2025",2.5,0.0,12.0,0.35,2125,0.8,0.2,5.0168,13.2261,6.6587,0.8874
"2023,2024,2025",2.5,0.05,12.0,1.0,2125,0.8,0.2,5.016,13.2307,6.6589,0.8885
"2023,2024,2025",2.5,0.08,12.0,0.2,2125,0.8,0.2,5.0171,13.226,6.6589,0.8866
"2023,2024,2025",2.5,0.05,12.0,0.35,2125,0.8,0.2,5.0173,13.2273,6.6593,0.8874
"2023,2024,2025",2.5,0.08,12.0,0.75,2125,0.8,0.2,5.0174,13.2283,6.6596,0.8882
"2023,2024,2025",2.5,0.08,12.0,0.5,2125,0.8,0.2,5.0199,13.2289,6.6617,0.8877
"2023,2024,2025",2.5,0.08,12.0,0.35,2125,0.8,0.2,5.0212,13.2292,6.6628,0.8873
"2023,2024,2025",2.5,0.08,12.0,1.0,2125,0.8,0.2,5.0213,13.2342,6.6639,0.8884
"2023,2024,2025",2.5,0.12,12.0,0.1,2125,0.8,0.2,5.0231,13.2273,6.664,0.8854
"2023,2024,2025",2.5,0.12,12.0,0.2,2125,0.8,0.2,5.0286,13.2288,6.6686,0.8863
"2023,2024,2025",2.5,0.12,12.0,0.75,2125,0.8,0.2,5.0321,13.2331,6.6723,0.8878
"2023,2024,2025",2.5,0.12,12.0,0.5,2125,0.8,0.2,5.0332,13.2329,6.6731,0.8875
"2023,2024,2025",2.5,0.12,12.0,0.35,2125,0.8,0.2,5.0334,13.2325,6.6732,0.887
"2023,2024,2025",2.5,0.12,12.0,1.0,2125,0.8,0.2,5.0372,13.2396,6.6777,0.8881
"2023,2024,2025",2.5,0.05,10.0,0.1,2125,0.8,0.2,5.0651,13.2548,6.703,0.8848
