year,season_type,rating_system,football_weight,market_weight,week,games,train_samples,home_field_advantage,prior_decay_games,min_prior_weight,prior_scale,ridge_alpha,model_vs_market_mae,model_vs_market_rmse,model_vs_market_corr,model_vs_actual_mae,model_vs_actual_rmse,model_vs_actual_corr,actual_vs_market_mae,actual_vs_market_rmse,actual_vs_market_corr,football_vs_actual_mae,market_component_vs_actual_mae
2025,regular,dual,0.6,0.4,2,50,48,2.5,2.5,0.0,14.0,0.75,9.148,10.572,0.877,13.056,17.781,0.743,11.095,14.426,0.777,13.156,13.026
2025,regular,dual,0.6,0.4,3,47,98,2.5,2.5,0.0,14.0,0.75,6.425,7.627,0.932,14.221,17.843,0.65,13.131,16.676,0.695,14.03,14.725
2025,regular,dual,0.6,0.4,4,50,145,2.5,2.5,0.0,14.0,0.75,4.176,5.76,0.939,13.23,17.25,0.627,12.08,16.271,0.663,13.563,12.997
2025,regular,dual,0.6,0.4,5,51,195,2.5,2.5,0.0,14.0,0.75,3.036,3.934,0.946,9.894,13.606,0.638,9.046,12.169,0.723,10.389,10.328
2025,regular,dual,0.6,0.4,6,50,246,2.5,2.5,0.0,14.0,0.75,3.014,3.586,0.974,11.092,13.936,0.682,10.487,13.511,0.703,11.282,11.304
2025,regular,dual,0.6,0.4,7,56,296,2.5,2.5,0.0,14.0,0.75,2.202,2.761,0.971,13.57,17.468,0.416,13.682,17.836,0.396,13.972,13.64
2025,regular,dual,0.6,0.4,8,59,352,2.5,2.5,0.0,14.0,0.75,2.198,2.754,0.973,12.367,15.269,0.541,12.13,14.916,0.572,12.607,12.694
2025,regular,dual,0.6,0.4,9,53,411,2.5,2.5,0.0,14.0,0.75,1.907,2.46,0.983,11.123,13.614,0.702,11.211,13.608,0.697,10.867,11.874
2025,regular,dual,0.6,0.4,10,52,464,2.5,2.5,0.0,14.0,0.75,1.824,2.301,0.978,13.174,16.508,0.522,12.888,16.14,0.55,13.23,13.411
2025,regular,dual,0.6,0.4,11,51,516,2.5,2.5,0.0,14.0,0.75,2.237,3.09,0.966,10.691,14.246,0.599,10.99,14.458,0.582,11.183,10.934
2025,regular,dual,0.6,0.4,12,58,567,2.5,2.5,0.0,14.0,0.75,2.278,3.15,0.973,12.114,15.264,0.674,12.098,15.446,0.648,11.909,12.807
2025,regular,dual,0.6,0.4,13,60,625,2.5,2.5,0.0,14.0,0.75,2.164,2.752,0.98,12.614,15.25,0.705,12.269,14.805,0.721,12.549,13.269
2025,regular,dual,0.6,0.4,14,67,685,2.5,2.5,0.0,14.0,0.75,2.664,3.179,0.972,12.748,15.48,0.752,12.557,15.194,0.74,12.613,13.281
2025,regular,dual,0.6,0.4,15,9,752,2.5,2.5,0.0,14.0,0.75,1.652,2.193,0.979,10.64,12.31,0.508,10.444,11.516,0.589,11.434,9.514
2025,regular,dual,0.6,0.4,16,1,761,2.5,2.5,0.0,14.0,0.75,1.483,1.483,0.0,5.983,5.983,0.0,4.5,4.5,0.0,5.381,6.887
