team,conference,record,fbs_record,rating,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Ohio State,Big Ten,1-0,1-0,17.54,1.0,82.27,98.62,68.45,1986.0,1.0,53.0,1173.0,2.667,0.666607,-0.242325,0.0,0.0,964.27,1,
Notre Dame,FBS Independents,1-0,1-0,17.25,1.0,61.2,100.0,81.55,2021.0,1.0,28.0,1501.0,7.167,0.349068,-0.043009,0.0,0.0,953.03,3,
Oregon,Big Ten,1-0,1-0,16.83,1.0,52.64,97.21,81.85,1873.0,1.0,7.0,1562.0,-17.667,0.27709,0.11263,0.0,0.0,984.33,6,
Texas,SEC,1-0,1-0,15.63,1.0,65.01,91.63,83.96,1913.0,1.0,52.0,1570.0,22.5,0.458651,0.139052,0.0,0.0,985.17,4,
USC,Big Ten,2-0,2-0,15.28,1.0,75.63,82.35,78.73,1793.5,1.0,27.5,1471.5,-2.083,0.363397,-0.027366,0.0,0.0,899.0,14,
Alabama,SEC,1-0,1-0,14.63,1.0,65.05,87.63,83.14,1823.0,1.0,38.0,1562.0,10.0,0.292156,-0.198543,0.0,0.0,973.53,12,
Texas A&M,SEC,1-0,1-0,13.72,1.0,73.02,85.64,75.9,1849.0,1.0,50.0,1385.0,10.833,0.351323,-0.244122,0.0,0.0,933.0,10,
Georgia,SEC,1-0,0-0,13.47,1.0,100.0,94.6,0.0,1871.0,0.0,0.0,0.0,10.667,0.743277,-0.098493,0.0,0.0,1003.67,2,
Indiana,Big Ten,1-0,1-0,12.68,1.0,71.47,89.67,88.98,2113.0,1.0,36.0,1639.0,-3.833,0.653558,0.134556,0.0,0.0,735.26,5,
Miami,ACC,2-0,1-0,12.66,1.0,86.19,87.28,32.6,1915.5,1.0,39.0,1413.0,12.5,0.60172,-0.076354,0.0,0.0,885.94,7,
Ole Miss,SEC,1-0,1-0,12.57,1.0,51.04,85.14,85.87,1837.0,1.0,3.0,1666.0,-3.5,0.29263,0.34608,0.0,0.0,885.72,9,
LSU,SEC,1-0,1-0,11.37,1.0,73.38,75.7,86.44,1745.0,1.0,41.0,1670.0,31.0,0.418685,-0.267877,0.0,0.0,931.76,8,
Michigan,Big Ten,1-0,1-0,11.21,1.0,52.9,79.17,78.58,1686.0,1.0,1.0,1530.0,-26.5,0.235518,-0.036869,0.0,0.0,890.02,16,
Oklahoma,SEC,1-0,1-0,10.41,1.0,77.15,76.27,70.09,1799.0,1.0,51.0,1256.0,10.333,0.387191,-0.251351,0.0,0.0,851.14,11,
South Carolina,SEC,1-0,1-0,9.84,1.0,92.94,71.77,65.78,1742.0,1.0,57.0,1167.0,21.167,0.683177,-0.038077,0.0,0.0,862.87,,
Florida,SEC,1-0,1-0,9.09,1.0,75.8,69.33,69.94,1658.0,1.0,45.0,1285.0,18.833,0.621458,0.107901,0.0,0.0,891.07,,
Penn State,Big Ten,1-0,1-0,8.93,1.0,69.88,74.5,80.25,1891.0,1.0,45.0,1478.0,21.667,0.422096,-0.167851,0.0,0.0,774.04,16,
Tennessee,SEC,1-0,0-0,8.34,1.0,79.31,75.77,0.0,1691.0,0.0,0.0,0.0,-2.333,0.569198,-0.126154,0.0,0.0,885.9,18,
Washington,Big Ten,1-0,1-0,8.11,1.0,50.3,72.31,84.77,1762.0,1.0,14.0,1619.0,-9.333,0.077972,-0.023141,0.0,0.0,777.63,19,
Clemson,ACC,0-1,0-1,7.3,1.0,9.01,70.98,81.25,1541.0,0.0,-41.0,1616.0,-31.0,-0.267877,0.418685,0.0,0.0,862.85,,
SMU,ACC,1-0,1-0,7.29,1.0,64.87,68.33,80.27,1728.0,1.0,3.0,1551.0,0.0,0.373139,0.194276,0.0,0.0,764.5,17,
Auburn,SEC,1-0,1-0,6.71,1.0,40.01,66.76,77.09,1613.0,1.0,1.0,1506.0,-5.5,0.028238,0.054174,0.0,0.0,828.19,,
Iowa,Big Ten,1-0,1-0,6.34,1.0,47.83,70.16,73.29,1847.0,1.0,40.0,1322.0,8.333,0.061317,-0.331732,0.0,0.0,722.73,21,
Texas Tech,Big 12,1-0,0-0,6.03,1.0,61.98,80.43,0.0,1870.0,0.0,0.0,0.0,-22.167,0.27853,-0.138025,0.0,0.0,767.89,13,
Missouri,SEC,1-0,0-0,5.7,1.0,68.6,69.89,0.0,1666.0,0.0,0.0,0.0,-15.5,0.378488,0.016518,0.0,0.0,808.36,23,
Florida State,ACC,1-1,1-1,5.58,1.0,45.6,60.85,77.94,1554.0,0.5,7.0,1507.5,-7.0,0.242469,0.267898,0.0,0.0,800.2,,
Nebraska,Big Ten,1-0,1-0,5.32,1.0,65.71,59.82,73.11,1592.0,1.0,28.0,1372.0,4.333,0.492529,0.127526,0.0,0.0,787.45,,
Louisville,ACC,0-1,0-1,5.18,1.0,52.44,61.99,93.0,1668.0,0.0,-3.0,1839.0,3.5,0.34608,0.29263,0.0,0.0,739.97,24,
Mississippi State,SEC,1-0,1-0,5.1,1.0,80.44,57.43,64.72,1584.0,1.0,49.0,1177.0,20.5,0.638028,-0.025209,0.0,0.0,804.53,,
Vanderbilt,SEC,1-0,0-0,3.83,1.0,57.19,68.22,0.0,1753.0,0.0,0.0,0.0,-10.0,0.282517,0.029045,0.0,0.0,727.39,,
Illinois,Big Ten,1-0,1-0,3.74,1.0,75.61,55.39,76.05,1595.0,1.0,19.0,1443.0,-6.833,0.529351,0.139131,0.0,0.0,704.01,,
South Florida,American Athletic,1-0,1-0,3.67,1.0,40.07,61.02,73.11,1679.0,1.0,10.0,1382.0,-4.5,-0.062746,0.110655,0.0,0.0,703.81,,
Kentucky,SEC,1-0,0-0,3.53,1.0,82.31,52.8,0.0,1476.0,0.0,0.0,0.0,9.667,0.562307,0.077241,0.0,0.0,786.65,,
Utah,Big 12,1-0,0-0,3.33,1.0,71.86,66.47,0.0,1817.0,0.0,0.0,0.0,14.0,0.510747,0.137355,0.0,0.0,695.72,20,
