team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Indiana,Big Ten,3-0,2-0,22.33,20.69,24.78,4.09,Medium,1.0,97.97,52.52,91.35,2122.0,1.0,37.0,1444.5,-4.333,0.482067,-0.223875,0.0,0.0,735.26,5,
Notre Dame,FBS Independents,3-0,3-0,22.29,20.47,25.04,4.57,Medium,1.0,82.3,65.9,92.21,2050.67,1.0,32.333,1408.333,0.944,0.316346,-0.144442,0.0,0.0,953.03,3,
Ohio State,Big Ten,2-1,2-1,21.39,17.84,26.73,8.9,Medium,1.0,88.78,65.21,94.71,2000.33,0.6667,36.0,1380.667,2.556,0.3517,-0.208673,0.0,0.0,964.27,7,
Georgia,SEC,3-0,2-0,21.3,19.58,23.87,4.29,Medium,1.0,100.0,59.87,91.62,1930.33,1.0,39.0,1408.5,7.944,0.550681,-0.088289,0.0,0.0,1003.67,2,
Texas,SEC,3-0,3-0,20.51,18.84,23.0,4.16,Medium,1.0,64.35,64.29,100.0,1921.33,1.0,25.667,1693.667,5.167,0.174451,-0.005587,0.0,0.0,985.17,1,
Miami,ACC,3-0,2-0,19.18,18.16,20.72,2.57,Medium,1.0,90.26,53.0,79.29,1908.67,1.0,26.0,1460.5,5.889,0.45327,-0.034534,0.0,0.0,885.94,6,
Alabama,SEC,3-0,3-0,19.06,19.94,17.75,-2.18,Medium,1.0,78.24,58.8,92.18,1848.33,1.0,26.667,1531.667,8.278,0.276937,-0.112832,0.0,0.0,973.53,8,
LSU,SEC,2-1,2-1,17.09,16.37,18.15,1.78,Medium,1.0,75.72,63.03,92.81,1775.0,0.6667,21.333,1658.333,5.5,0.213128,-0.147851,0.0,0.0,931.76,10,
Penn State,Big Ten,3-0,3-0,17.03,17.6,16.18,-1.42,Medium,1.0,79.84,41.59,93.19,1901.33,1.0,35.0,1377.0,5.889,0.347806,-0.128661,0.0,0.0,774.04,13,
USC,Big Ten,4-0,4-0,15.21,12.91,18.66,5.75,High,1.0,73.26,87.0,79.1,1810.25,1.0,20.25,1425.75,-7.458,0.317215,0.113615,0.0,0.0,899.0,12,
Ole Miss,SEC,3-0,3-0,14.73,13.98,15.86,1.88,Medium,1.0,61.79,71.75,79.21,1849.0,1.0,14.333,1547.333,-1.722,0.288658,0.171021,0.0,0.0,885.72,4,
Utah,Big 12,3-0,2-0,14.43,16.55,11.25,-5.3,Medium,1.0,78.14,17.81,87.46,1866.0,1.0,33.0,1464.0,13.611,0.332625,-0.060549,0.0,0.0,695.72,15,
Oregon,Big Ten,2-1,1-1,14.13,7.67,23.83,16.17,Low,1.0,77.31,96.23,45.2,1840.67,0.5,-0.5,1387.0,-8.056,0.291979,-0.11093,0.0,0.0,984.33,20,
Tennessee,SEC,3-0,2-0,13.96,13.85,14.12,0.27,Medium,1.0,82.03,69.31,79.26,1730.33,1.0,27.0,1440.0,1.222,0.369723,-0.069395,0.0,0.0,885.9,14,
Texas A&M,SEC,2-1,2-1,13.57,11.17,17.17,6.0,Medium,1.0,64.42,74.57,84.05,1854.33,0.6667,22.667,1465.667,-0.889,0.11141,-0.086099,0.0,0.0,933.0,23,
Florida,SEC,3-0,2-0,13.27,12.69,14.15,1.46,Medium,1.0,82.63,60.96,78.87,1665.0,1.0,25.0,1481.5,6.278,0.431099,-0.081239,0.0,0.0,891.07,21,
Oklahoma,SEC,2-1,2-1,12.5,10.09,16.11,6.02,Medium,1.0,64.01,77.51,79.73,1788.0,0.6667,17.333,1500.0,-5.056,0.050171,-0.230797,0.0,0.0,851.14,24,
Mississippi State,SEC,3-0,3-0,12.06,14.96,7.72,-7.24,Medium,1.0,86.13,26.08,89.1,1629.67,1.0,27.0,1476.333,18.611,0.46249,-0.017813,0.0,0.0,804.53,24,
Iowa,Big Ten,3-0,2-0,11.19,10.89,11.63,0.73,Medium,1.0,80.31,40.4,73.67,1844.33,1.0,21.5,1454.0,4.944,0.213827,-0.248233,0.0,0.0,722.73,17,
