team,conference,record,fbs_record,rating,resume_score,efficiency_score,power_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Indiana,Big Ten,16-0,15-0,86.05,97.2,76.87,83.74,2094.31,1.0,27.067,1701.0,12.771,0.342294,0.014359,0.328115,0.025386,645.34,1,1
Ohio State,Big Ten,12-2,11-2,84.13,82.62,80.64,89.96,2091.86,0.8462,20.615,1686.385,3.679,0.327146,-0.013623,0.289073,0.012084,973.69,3,2
Notre Dame,FBS Independents,10-2,10-2,82.22,77.22,77.71,93.3,2187.08,0.8333,24.417,1549.333,4.5,0.332613,0.023058,0.297044,0.028467,912.11,9,11
Oregon,Big Ten,13-2,12-2,82.14,85.01,73.9,88.42,2040.87,0.8571,17.143,1754.143,3.439,0.302712,0.040779,0.290032,0.030482,941.22,5,5
Georgia,SEC,12-2,11-2,75.96,78.5,62.69,88.47,2042.36,0.8462,13.923,1700.923,-0.464,0.244787,0.093092,0.242827,0.090692,1002.98,2,3
Texas Tech,Big 12,12-2,11-2,75.65,80.06,76.11,69.98,1858.14,0.8462,25.154,1551.077,7.804,0.245954,-0.065167,0.213377,-0.033832,757.49,4,4
Ole Miss,SEC,13-2,12-2,75.21,80.4,65.69,80.25,1968.33,0.8571,13.5,1674.786,4.361,0.307296,0.109891,0.302776,0.12937,813.11,6,6
Miami,ACC,13-3,12-3,75.16,81.55,65.63,78.83,1888.06,0.8,14.4,1734.2,4.719,0.222531,0.033815,0.227684,0.010636,874.57,10,10
Alabama,SEC,11-4,10-4,72.47,73.22,61.58,84.28,1937.13,0.7143,7.071,1752.429,-0.656,0.207814,0.071133,0.235922,0.069859,993.55,11,9
Utah,Big 12,11-2,10-2,72.42,79.76,69.87,66.84,1805.62,0.8333,19.75,1584.917,8.551,0.346616,0.067535,0.315556,0.088847,707.86,15,15
Vanderbilt,SEC,10-3,9-3,72.03,80.49,68.89,65.83,1739.0,0.75,13.417,1707.083,9.064,0.412763,0.190992,0.377209,0.189388,685.42,13,14
USC,Big Ten,9-4,9-4,71.53,70.31,66.66,78.65,1887.77,0.6923,12.769,1639.538,1.827,0.344159,0.148791,0.314139,0.130092,847.53,16,16
Texas A&M,SEC,11-2,10-2,70.14,77.27,58.79,75.06,1817.08,0.8333,9.833,1717.167,-0.59,0.233098,0.117666,0.255671,0.122168,917.29,7,7
Texas,SEC,10-3,10-3,70.04,71.09,57.83,83.06,1913.31,0.7692,10.154,1654.077,-1.66,0.178628,0.098275,0.189303,0.082481,973.54,14,13
Oklahoma,SEC,10-3,9-3,67.6,73.15,58.93,71.22,1765.23,0.75,9.0,1695.417,0.372,0.106763,-0.015765,0.118455,0.001253,882.59,8,8
Iowa,Big Ten,9-4,8-4,67.3,74.23,57.63,70.5,1824.08,0.6667,12.083,1690.75,6.308,0.153101,0.054506,0.142957,0.043273,710.0,17,23
Washington,Big Ten,9-4,8-4,67.29,69.85,68.66,62.71,1709.31,0.6667,11.667,1601.667,6.506,0.290008,0.057432,0.239546,0.063155,720.56,24,23
BYU,Big 12,12-2,11-2,66.78,75.56,61.77,62.37,1719.14,0.8462,7.923,1608.538,5.685,0.220409,0.063301,0.22023,0.070515,649.36,12,12
James Madison,Sun Belt,12-2,11-2,66.31,73.33,66.88,57.46,1763.36,0.8462,17.462,1474.231,7.339,0.225287,0.001796,0.202371,0.040173,459.53,19,24
Penn State,Big Ten,7-6,6-6,66.22,58.36,59.21,83.55,2008.15,0.5,7.5,1647.667,-2.84,0.227899,0.10487,0.229644,0.109177,910.42,7,
Tennessee,SEC,8-5,7-5,65.12,61.18,63.14,72.01,1817.31,0.5833,7.25,1619.583,-1.256,0.316398,0.146071,0.271848,0.147137,866.57,18,19
Missouri,SEC,8-5,7-5,64.84,63.7,63.81,67.36,1747.46,0.5833,7.667,1634.0,1.526,0.210783,0.025608,0.178373,0.049112,804.77,25,22
SMU,ACC,9-4,8-4,64.59,63.05,66.16,64.56,1751.85,0.6667,10.25,1538.083,1.179,0.248607,0.032548,0.248163,0.066743,766.67,25,21
Michigan,Big Ten,9-4,9-4,64.35,63.35,56.26,74.96,1813.15,0.6923,7.154,1588.385,-2.308,0.198473,0.112932,0.215374,0.110693,907.22,18,18
North Texas,American Athletic,12-2,11-2,62.71,69.51,65.71,51.27,1628.71,0.8462,16.077,1411.615,6.89,0.351419,0.161551,0.320689,0.197734,569.15,23,25
South Florida,American Athletic,9-4,8-4,62.28,65.98,64.49,55.38,1641.15,0.6667,14.417,1485.917,7.885,0.297714,0.080099,0.255513,0.109987,666.89,25,24
Louisville,ACC,9-4,8-4,60.75,61.48,58.31,62.76,1725.85,0.6667,6.667,1571.583,-2.064,0.152607,0.059925,0.166062,0.085136,700.77,19,20
TCU,Big 12,9-4,8-4,59.76,62.64,54.25,62.82,1693.08,0.6667,4.083,1607.833,-1.577,0.197024,0.141022,0.186519,0.106058,745.01,24,
Old Dominion,Sun Belt,10-3,9-3,59.4,63.49,67.15,45.6,1547.54,0.75,10.583,1432.083,4.814,0.236495,0.018271,0.178612,0.045763,477.45,,
Virginia,ACC,11-3,10-3,59.13,66.73,57.14,52.59,1578.07,0.7692,9.077,1492.077,4.935,0.173465,0.06366,0.144031,0.076923,666.74,20,19
Arizona,Big 12,9-4,8-4,58.67,66.69,57.04,51.2,1537.31,0.6667,9.5,1550.417,6.692,0.167143,0.06948,0.157261,0.083516,651.62,21,17
Auburn,SEC,5-7,4-7,58.39,54.37,56.02,65.85,1668.92,0.3636,2.545,1678.545,-0.021,0.172707,0.059921,0.162361,0.050958,891.84,22,
Clemson,ACC,7-6,6-6,58.0,54.93,53.07,67.34,1711.23,0.5,4.333,1610.333,-3.66,0.177768,0.094616,0.171562,0.111049,918.43,12,
Pittsburgh,ACC,8-5,7-5,57.83,61.0,56.19,56.04,1603.15,0.5833,5.333,1577.333,3.006,0.173462,0.06996,0.155385,0.079739,681.21,24,22
LSU,SEC,7-6,6-6,57.63,56.71,48.14,69.76,1720.23,0.5,-0.583,1688.75,-4.224,0.086979,0.08393,0.083249,0.06345,920.05,20,
Iowa State,Big 12,8-4,7-4,57.14,59.67,56.35,55.11,1620.83,0.6364,3.545,1529.727,2.181,0.191413,0.090215,0.170748,0.106648,648.93,22,
Toledo,Mid-American,8-5,7-5,56.89,52.98,69.58,46.63,1561.92,0.5833,14.0,1318.75,5.667,0.203723,-0.077675,0.179089,0.02957,620.13,,
Georgia Tech,ACC,9-4,8-4,56.56,60.17,53.87,55.5,1587.77,0.6667,3.833,1553.333,-1.103,0.272107,0.193973,0.241634,0.185079,715.56,24,22
Tulane,American Athletic,11-3,11-3,56.41,61.73,51.56,55.87,1587.71,0.7857,3.786,1497.214,-1.836,0.204962,0.150072,0.178423,0.131193,650.87,17,20
Illinois,Big Ten,9-4,8-4,56.24,62.29,49.99,56.46,1599.0,0.6667,2.167,1614.917,-1.628,0.206813,0.192434,0.189493,0.168286,662.13,23,21
Kansas State,Big 12,6-6,5-6,56.15,52.54,55.98,60.55,1678.0,0.4545,2.727,1587.182,-1.785,0.207904,0.119256,0.207844,0.107301,705.85,17,
Wake Forest,ACC,9-4,8-4,55.69,60.86,60.23,44.36,1440.31,0.6667,3.833,1482.833,5.808,0.15901,0.040786,0.137531,0.054302,627.16,,
