event_id,week_label,commence_time,away_team,home_team,snapshot_count,first_captured_at_utc,latest_captured_at_utc,opening_market_home_spread,latest_market_home_spread,home_line_movement,edge_side,latest_model_edge,selected_best_spread,selected_best_price,selected_best_book,break_even_probability,line_shopping_value,opening_to_latest_value,closing_side_spread,best_line_clv,actual_home_margin,ats_result,betting_status
9e0eaa3fed3125ec9629a777bf077185,Week 4,2026-09-24T23:30:00Z,Liberty,Coastal Carolina,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,2.12,2.44,0.32,Liberty,6.9,-2.0,-110,mybookieag,0.5238,0.44,0.32,,,,,Standard
d9a781a64fc2c4b45290db32b5ec3f20,Week 4,2026-09-25T20:00:00Z,Army,Temple,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,3.06,3.06,0.0,Temple,4.12,3.5,-120,fanduel,0.5455,0.44,0.0,,,,,Standard
2e454a12c5301843ab7ec1a1eaf4f237,Week 4,2026-09-25T23:00:00Z,Navy,UAB,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,7.5,7.06,-0.44,UAB,6.26,7.5,-120,fanduel,0.5455,0.44,0.44,,,,,Standard
775ad63a769838c1e1da423293c9c60d,Week 4,2026-09-26T00:00:00Z,Northwestern,Indiana,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-21.81,-21.0,0.81,Northwestern,2.62,21.5,-110,mybookieag,0.5238,0.5,0.81,,,,,Standard
48683523200ecdbeb09a2e6eb0d0a1f7,Week 4,2026-09-26T02:30:00Z,Clemson,California,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-0.75,0.61,1.36,Clemson,4.06,1.0,-113,betrivers,0.5305,1.61,1.36,,,,,Standard
a14ae60e9aac7b91d0acbdae745873b4,Week 4,2026-09-26T16:00:00Z,Ball State,Kent State,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-3.25,-3.06,0.19,Ball State,2.6,3.5,-122,fanduel,0.5495,0.44,0.19,,,,,Standard
90cacdc25f25e1f13b13e031a7fee9b7,Week 4,2026-09-26T16:00:00Z,Colorado,Baylor,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-9.56,-9.94,-0.38,Baylor,1.44,-9.5,-118,fanduel,0.5413,0.44,0.38,,,,,Standard
69b1a0ff5fb2c67c6627b5c8cf8368cb,Week 4,2026-09-26T16:00:00Z,Texas,Tennessee,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,3.86,5.56,1.7,Tennessee,1.51,6.0,-115,bovada,0.5349,0.44,-1.7,,,,,Standard
11ea90adf014a268d12caa9978b05bd8,Week 4,2026-09-26T16:00:00Z,UNLV,Akron,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,13.56,13.61,0.05,UNLV,0.38,-13.5,-110,lowvig,0.5238,0.11,0.05,,,,,Standard
f6b6590d0b66bbb4fcbb391289794963,Week 4,2026-09-26T16:00:00Z,Wake Forest,Louisville,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-13.12,-12.72,0.4,Wake Forest,1.01,13.0,-110,mybookieag,0.5238,0.28,0.4,,,,,Standard
11c5e9c2cf899388abd0dae30ea71db9,Week 4,2026-09-26T16:45:00Z,South Alabama,Kentucky,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,-20.62,-20.5,0.12,South Alabama,8.16,20.5,-109,lowvig,0.5215,0.0,0.12,,,,,Standard
c48f042c91328d4d0c6351fc82286879,Week 4,2026-09-26T17:30:00Z,UCLA,Maryland,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,2.12,2.17,0.05,Maryland,1.71,2.5,-111,lowvig,0.5261,0.33,-0.05,,,,,Standard
bf2cffa30d89eb2ce1b4d0f91561f66d,Week 4,2026-09-26T18:00:00Z,Notre Dame,Purdue,2,2026-09-21T00:31:51+00:00,2026-09-21T21:56:06+00:00,27.31,27.89,0.58,Purdue,3.37,28.0,-109,lowvig,0.5215,0.11,-0.58,,,,,Standard
