event_id,commence_time,week,display_week,week_label,game_type,schedule_match_status,edge_review_flag,betting_status,market_status,home_team,away_team,neutral_site,book_count,model_home_margin,model_home_spread,model_margin_std_dev,model_home_win_probability,market_home_spread,market_home_margin,edge_home_points,edge_side,absolute_edge_points,model_favorite,market_favorite,market_total,actual_home_points,actual_away_points,actual_home_margin,actual_winner,best_away_book,best_away_price,best_away_spread,best_home_book,best_home_price,best_home_spread,betmgm_away_moneyline,betmgm_away_spread,betmgm_away_spread_price,betmgm_home_moneyline,betmgm_home_spread,betmgm_home_spread_price,betmgm_over_price,betmgm_total,betmgm_under_price,betonlineag_away_moneyline,betonlineag_away_spread,betonlineag_away_spread_price,betonlineag_home_moneyline,betonlineag_home_spread,betonlineag_home_spread_price,betonlineag_over_price,betonlineag_total,betonlineag_under_price,betrivers_away_moneyline,betrivers_away_spread,betrivers_away_spread_price,betrivers_home_moneyline,betrivers_home_spread,betrivers_home_spread_price,betrivers_over_price,betrivers_total,betrivers_under_price,betus_away_moneyline,betus_away_spread,betus_away_spread_price,betus_home_moneyline,betus_home_spread,betus_home_spread_price,betus_over_price,betus_total,betus_under_price,bovada_away_moneyline,bovada_away_spread,bovada_away_spread_price,bovada_home_moneyline,bovada_home_spread,bovada_home_spread_price,bovada_over_price,bovada_total,bovada_under_price,break_even_probability,captured_at_utc,draftkings_away_moneyline,draftkings_away_spread,draftkings_away_spread_price,draftkings_home_moneyline,draftkings_home_spread,draftkings_home_spread_price,draftkings_over_price,draftkings_total,draftkings_under_price,fanduel_away_moneyline,fanduel_away_spread,fanduel_away_spread_price,fanduel_home_moneyline,fanduel_home_spread,fanduel_home_spread_price,fanduel_over_price,fanduel_total,fanduel_under_price,line_shopping_value,lowvig_away_moneyline,lowvig_away_spread,lowvig_away_spread_price,lowvig_home_moneyline,lowvig_home_spread,lowvig_home_spread_price,lowvig_over_price,lowvig_total,lowvig_under_price,mybookieag_away_moneyline,mybookieag_away_spread,mybookieag_away_spread_price,mybookieag_home_moneyline,mybookieag_home_spread,mybookieag_home_spread_price,mybookieag_over_price,mybookieag_total,mybookieag_under_price,selected_best_book,selected_best_price,selected_best_spread
cfbd-401856766,2026-08-29T16:00:00.000Z,1,0,Week 0,FBS vs FBS,cfbd_completed,Completed no current odds,No current market line,completed_no_current_odds,TCU,North Carolina,True,0,2.32,-2.32,16.0,0.5576,,,,,,TCU,,,10,15,-5.0,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfbd-401864494,2026-08-29T19:00:00.000Z,1,0,Week 0,FBS vs FBS,cfbd_completed,Completed no current odds,No current market line,completed_no_current_odds,USC,San José State,False,0,24.86,-24.86,16.0,0.9399,,,,,,USC,,,42,26,16.0,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfbd-401858202,2026-08-29T19:30:00.000Z,1,0,Week 0,FBS vs FBS,cfbd_completed,Completed no current odds,No current market line,completed_no_current_odds,Virginia,NC State,False,0,6.35,-6.35,16.0,0.6543,,,,,,Virginia,,,34,8,26.0,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfbd-401864577,2026-08-29T21:30:00.000Z,1,0,Week 0,FBS vs FBS,cfbd_completed,Completed no current odds,No current market line,completed_no_current_odds,North Dakota State,Jacksonville State,False,0,12.64,-12.64,16.0,0.7852,,,,,,North Dakota State,,,33,7,26.0,North Dakota State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfbd-401866408,2026-08-29T22:30:00.000Z,1,0,Week 0,FBS vs FBS,cfbd_completed,Completed no current odds,No current market line,completed_no_current_odds,Eastern Michigan,Sacramento State,False,0,5.78,-5.78,16.0,0.641,,,,,,Eastern Michigan,,,28,17,11.0,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfbd-401858201,2026-08-29T23:00:00.000Z,1,0,Week 0,FBS vs FBS,cfbd_completed,Completed no current odds,No current market line,completed_no_current_odds,Stanford,Hawai'i,False,0,2.87,-2.87,16.0,0.5712,,,,,,Stanford,,,37,27,10.0,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfbd-401864570,2026-08-29T23:00:00.000Z,1,0,Week 0,FBS vs FBS,cfbd_completed,Completed no current odds,No current market line,completed_no_current_odds,Florida State,New Mexico State,False,0,18.97,-18.97,16.0,0.8821,,,,,,Florida State,,,34,17,17.0,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfbd-401862693,2026-08-30T02:00:00.000Z,1,0,Week 0,FBS vs FBS,cfbd_completed,Completed no current odds,No current market line,completed_no_current_odds,UNLV,Memphis,False,0,-0.59,0.59,16.0,0.4853,,,,,,Memphis,,,21,27,-6.0,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e972bb2c0291b991de32cc0188c9d338,2026-09-27T02:30:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,Nevada,Air Force,False,9,5.17,-5.17,16.0,0.6267,5.28,-5.28,10.45,Nevada,10.45,Nevada,Air Force,50.0,,,,,betrivers,-109,-4.5,fanduel,-110,5.5,-220,-5.5,-108,180,5.5,-110,-105,50.5,-112,-210,-5.0,-115,180,5.0,-105,-105,50.0,-115,-200,-4.5,-109,160,4.5,-114,-109,50.0,-114,-210,-5.5,-110,180,5.5,-110,-105,50.0,-115,-225,-5.5,-110,185,5.5,-110,-115,49.5,-105,0.5238,2026-09-21T21:56:06+00:00,-218,-5.5,-108,180,5.5,-112,-112,49.5,-108,-220,-5.5,-110,180,5.5,-110,-106,50.5,-114,0.22,-210,-5.0,-111,180,5.0,-101,-103,50.0,-114,-234,-5.5,-110,186,5.5,-110,-110,50.0,-110,fanduel,-110,5.5
1f0c9cd1941cbfe5c5ca28fa42e387d8,2026-09-26T22:30:00Z,4,4,Week 4,FBS vs FBS,exact,Standard,Standard,open_market,Miami,Central Michigan,False,8,32.25,-32.25,16.0,0.9781,-41.19,41.19,-8.94,Central Michigan,8.94,Miami,Miami,53.75,,,,,fanduel,-105,41.5,lowvig,-111,-41.0,,41.5,-108,,-41.5,-110,-112,53.5,-105,,41.0,-105,,-41.0,-115,-108,54.5,-112,,41.0,-112,,-41.0,-112,-115,53.5,-108,,41.0,-105,,-41.0,-115,-110,53.5,-110,,41.0,-105,,-41.0,-115,-110,53.5,-110,0.5122,2026-09-21T21:56:06+00:00,,41.5,-108,,-41.5,-112,-115,53.5,-105,,41.5,-105,,-41.5,-115,-115,53.5,-105,0.31,,41.0,-101,,-41.0,-111,-106,54.5,-110,,,,,,,,,,fanduel,-105,41.5
