event_id,captured_at_utc,commence_time,week,display_week,week_label,game_type,home_team,away_team,book_count,model_home_spread,market_home_spread,edge_side,absolute_edge_points,betting_status,best_home_spread,best_home_price,best_home_book,best_away_spread,best_away_price,best_away_book,selected_best_spread,selected_best_price,selected_best_book,break_even_probability,line_shopping_value
008dd61e19c2456760593773da6a88ef,2026-09-21T00:31:51+00:00,2026-09-26T22:00:00Z,4,4,Week 4,FBS vs FBS,Old Dominion,James Madison,8,11.8,5.12,James Madison,6.68,Standard,5.5,-110,fanduel,-4.5,-106,lowvig,-4.5,-106,lowvig,0.5146,0.62
008dd61e19c2456760593773da6a88ef,2026-09-21T21:56:06+00:00,2026-09-26T22:00:00Z,4,4,Week 4,FBS vs FBS,Old Dominion,James Madison,9,11.9,5.83,James Madison,6.07,Standard,6.0,-108,betmgm,-5.5,-111,lowvig,-5.5,-111,lowvig,0.5261,0.33
10078e86207d952986707c1ad7dc9331,2026-09-21T00:31:51+00:00,2026-09-26T21:00:00Z,4,4,Week 4,FBS vs FBS,Bowling Green,South Florida,8,16.86,17.69,Bowling Green,0.83,Standard,18.5,-110,mybookieag,-17.5,-106,lowvig,18.5,-110,mybookieag,0.5238,0.81
10078e86207d952986707c1ad7dc9331,2026-09-21T21:56:06+00:00,2026-09-26T21:00:00Z,4,4,Week 4,FBS vs FBS,Bowling Green,South Florida,9,16.82,17.44,Bowling Green,0.62,Standard,17.5,-106,lowvig,-17.0,-114,betrivers,17.5,-106,lowvig,0.5146,0.06
11c5e9c2cf899388abd0dae30ea71db9,2026-09-21T00:31:51+00:00,2026-09-26T16:45:00Z,4,4,Week 4,FBS vs FBS,Kentucky,South Alabama,8,-12.32,-20.62,South Alabama,8.3,Standard,-20.5,-110,betus,21.0,-108,betrivers,21.0,-108,betrivers,0.5192,0.38
11c5e9c2cf899388abd0dae30ea71db9,2026-09-21T21:56:06+00:00,2026-09-26T16:45:00Z,4,4,Week 4,FBS vs FBS,Kentucky,South Alabama,9,-12.34,-20.5,South Alabama,8.16,Standard,-20.5,-103,lowvig,20.5,-109,lowvig,20.5,-109,lowvig,0.5215,0.0
11ea90adf014a268d12caa9978b05bd8,2026-09-21T00:31:51+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Akron,UNLV,8,13.95,13.56,UNLV,0.39,Standard,14.0,-110,mybookieag,-13.5,-103,lowvig,-13.5,-103,lowvig,0.5074,0.06
11ea90adf014a268d12caa9978b05bd8,2026-09-21T21:56:06+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Akron,UNLV,9,13.99,13.61,UNLV,0.38,Standard,14.0,-110,mybookieag,-13.5,-110,lowvig,-13.5,-110,lowvig,0.5238,0.11
1f0c9cd1941cbfe5c5ca28fa42e387d8,2026-09-21T00:31:51+00:00,2026-09-26T22:30:00Z,4,4,Week 4,FBS vs FBS,Miami,Central Michigan,7,-32.22,-40.79,Central Michigan,8.57,Standard,-40.5,-101,lowvig,41.5,-105,fanduel,41.5,-105,fanduel,0.5122,0.71
1f0c9cd1941cbfe5c5ca28fa42e387d8,2026-09-21T21:56:06+00:00,2026-09-26T22:30:00Z,4,4,Week 4,FBS vs FBS,Miami,Central Michigan,8,-32.25,-41.19,Central Michigan,8.94,Standard,-41.0,-111,lowvig,41.5,-105,fanduel,41.5,-105,fanduel,0.5122,0.31
271438149d3f0afb2ff01736101b5e20,2026-09-21T00:31:51+00:00,2026-09-27T02:00:00Z,4,4,Week 4,FBS vs FBS,Fresno State,Rice,8,-15.11,-13.81,Fresno State,1.3,Standard,-12.5,-112,betrivers,14.5,-110,fanduel,-12.5,-112,betrivers,0.5283,1.31
271438149d3f0afb2ff01736101b5e20,2026-09-21T21:56:06+00:00,2026-09-27T02:00:00Z,4,4,Week 4,FBS vs FBS,Fresno State,Rice,9,-15.09,-13.5,Fresno State,1.59,Standard,-13.0,-110,betus,14.0,-114,betrivers,-13.0,-110,betus,0.5238,0.5
2e454a12c5301843ab7ec1a1eaf4f237,2026-09-21T00:31:51+00:00,2026-09-25T23:00:00Z,4,4,Week 4,FBS vs FBS,UAB,Navy,8,0.88,7.5,UAB,6.62,Standard,7.5,-110,fanduel,-7.5,101,lowvig,7.5,-110,fanduel,0.5238,0.0
2e454a12c5301843ab7ec1a1eaf4f237,2026-09-21T21:56:06+00:00,2026-09-25T23:00:00Z,4,4,Week 4,FBS vs FBS,UAB,Navy,9,0.8,7.06,UAB,6.26,Standard,7.5,-120,fanduel,-7.0,-105,bovada,7.5,-120,fanduel,0.5455,0.44
32171e03f5df71b5c9057bcba40030a7,2026-09-21T00:31:51+00:00,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,UCF,TCU,8,-0.37,3.29,UCF,3.66,Standard,3.5,-111,lowvig,-3.0,-109,betrivers,3.5,-111,lowvig,0.5261,0.21
32171e03f5df71b5c9057bcba40030a7,2026-09-21T21:56:06+00:00,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,UCF,TCU,9,-0.29,3.11,UCF,3.4,Standard,3.5,-115,bovada,-3.0,-110,mybookieag,3.5,-115,bovada,0.5349,0.39
3848eaee7484034f3604aed922649c4e,2026-09-21T00:31:51+00:00,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,Georgia,Oklahoma,8,-11.38,-13.94,Oklahoma,2.56,Standard,-13.5,-120,fanduel,14.0,100,betus,14.0,100,betus,0.5,0.06
3848eaee7484034f3604aed922649c4e,2026-09-21T21:56:06+00:00,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,Georgia,Oklahoma,9,-11.3,-13.78,Oklahoma,2.48,Standard,-13.5,-110,bovada,14.0,-108,lowvig,14.0,-108,lowvig,0.5192,0.22
39a3d3075172036a2b3f7d47913779b8,2026-09-21T00:31:51+00:00,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,Michigan,Iowa,8,-2.36,-4.38,Iowa,2.02,Standard,-4.0,-110,mybookieag,5.0,-110,betus,5.0,-110,betus,0.5238,0.62
39a3d3075172036a2b3f7d47913779b8,2026-09-21T21:56:06+00:00,2026-09-26T19:30:00Z,4,4,Week 4,FBS vs FBS,Michigan,Iowa,9,-2.48,-5.5,Iowa,3.02,Standard,-5.5,-106,lowvig,5.5,-106,lowvig,5.5,-106,lowvig,0.5146,0.0
48683523200ecdbeb09a2e6eb0d0a1f7,2026-09-21T00:31:51+00:00,2026-09-26T02:30:00Z,4,4,Week 4,FBS vs FBS,California,Clemson,8,4.22,-0.75,Clemson,4.97,Standard,0.0,-106,lowvig,1.5,-112,draftkings,1.5,-112,draftkings,0.5283,0.75
48683523200ecdbeb09a2e6eb0d0a1f7,2026-09-21T21:56:06+00:00,2026-09-26T02:30:00Z,4,4,Week 4,FBS vs FBS,California,Clemson,9,4.67,0.61,Clemson,4.06,Standard,1.5,-110,bovada,1.0,-113,betrivers,1.0,-113,betrivers,0.5305,1.61
69b1a0ff5fb2c67c6627b5c8cf8368cb,2026-09-21T00:31:51+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Tennessee,Texas,8,3.85,3.86,Tennessee,0.01,Standard,4.5,-109,betrivers,-3.5,-109,lowvig,4.5,-109,betrivers,0.5215,0.64
69b1a0ff5fb2c67c6627b5c8cf8368cb,2026-09-21T21:56:06+00:00,2026-09-26T16:00:00Z,4,4,Week 4,FBS vs FBS,Tennessee,Texas,9,4.05,5.56,Tennessee,1.51,Standard,6.0,-115,bovada,-5.5,-106,lowvig,6.0,-115,bovada,0.5349,0.44
