team,conference,rating,projected_wins,projected_losses,actual_wins,actual_losses,remaining_expected_wins,remaining_games,schedule_games,projected_strength_of_schedule,average_game_win_probability
Notre Dame,FBS Independents,22.29,10.86,1.14,3.0,0.0,7.86,9,12,0.81,0.8735
Miami,ACC,19.18,10.27,1.73,3.0,0.0,7.27,9,12,-0.69,0.8076
Indiana,Big Ten,22.33,10.24,1.76,3.0,0.0,7.24,9,12,1.23,0.8046
James Madison,Sun Belt,6.03,10.09,1.91,3.0,0.0,7.09,9,12,-8.43,0.7875
North Dakota State,Mountain West,4.28,9.97,2.03,4.0,0.0,5.97,8,12,-10.4,0.7468
Penn State,Big Ten,17.03,9.87,2.13,3.0,0.0,6.87,9,12,1.62,0.7633
Georgia,SEC,21.3,9.79,2.21,3.0,0.0,6.79,9,12,2.95,0.754
Utah,Big 12,14.43,9.76,2.24,3.0,0.0,6.76,9,12,-1.74,0.7507
Texas Tech,Big 12,11.08,9.74,2.26,3.0,0.0,6.74,9,12,-3.21,0.7485
South Florida,American Athletic,3.76,9.56,2.44,3.0,0.0,6.56,9,12,-8.62,0.7289
Texas,SEC,20.51,9.29,2.71,3.0,0.0,6.29,9,12,10.1,0.6985
Alabama,SEC,19.06,9.22,2.78,3.0,0.0,6.22,9,12,5.63,0.6909
Liberty,Conference USA,4.31,9.16,2.84,2.0,1.0,7.16,9,12,-10.9,0.7956
Kansas State,Big 12,8.76,8.95,3.05,3.0,0.0,5.95,9,12,-2.3,0.6612
Ohio State,Big Ten,21.39,8.56,3.44,2.0,1.0,6.56,9,12,7.23,0.7292
USC,Big Ten,15.21,8.54,3.46,4.0,0.0,4.54,8,12,6.91,0.5677
Duke,ACC,6.1,8.53,3.47,3.0,0.0,5.53,9,12,-1.51,0.614
Western Michigan,Mid-American,-0.24,8.51,3.49,2.0,1.0,6.51,9,12,-10.8,0.7234
Ole Miss,SEC,14.73,8.41,3.59,3.0,0.0,5.41,9,12,6.51,0.601
BYU,Big 12,9.79,8.41,3.59,3.0,0.0,5.41,9,12,1.29,0.6014
