team,conference,rating,schedule_games,expected_games,missing_games,status
Boise State,Pac-12,4.94,11,12,1,incomplete
Colorado State,Pac-12,-6.41,11,12,1,incomplete
Fresno State,Pac-12,1.32,11,12,1,incomplete
Oregon State,Pac-12,-7.02,11,12,1,incomplete
San Diego State,Pac-12,-3.37,11,12,1,incomplete
Texas State,Pac-12,-2.29,11,12,1,incomplete
Utah State,Pac-12,-6.54,11,12,1,incomplete
Washington State,Pac-12,-4.44,11,12,1,incomplete
Boston College,ACC,-5.53,12,12,0,complete
California,ACC,-3.13,12,12,0,complete
Clemson,ACC,3.59,12,12,0,complete
Duke,ACC,6.09,12,12,0,complete
Florida State,ACC,4.5,12,12,0,complete
Georgia Tech,ACC,-2.26,12,12,0,complete
Louisville,ACC,9.74,12,12,0,complete
Miami,ACC,19.17,12,12,0,complete
NC State,ACC,0.65,12,12,0,complete
North Carolina,ACC,1.46,12,12,0,complete
Pittsburgh,ACC,6.17,12,12,0,complete
SMU,ACC,8.88,12,12,0,complete
Stanford,ACC,-7.76,12,12,0,complete
Syracuse,ACC,-4.32,12,12,0,complete
Virginia,ACC,4.59,12,12,0,complete
Virginia Tech,ACC,6.77,12,12,0,complete
Wake Forest,ACC,0.54,12,12,0,complete
Army,American Athletic,-3.66,12,12,0,complete
Charlotte,American Athletic,-13.1,12,12,0,complete
East Carolina,American Athletic,-4.85,12,12,0,complete
Florida Atlantic,American Athletic,-7.25,12,12,0,complete
Memphis,American Athletic,0.03,12,12,0,complete
Navy,American Athletic,-4.88,12,12,0,complete
North Texas,American Athletic,-0.5,12,12,0,complete
Rice,American Athletic,-11.29,12,12,0,complete
South Florida,American Athletic,3.74,12,12,0,complete
Temple,American Athletic,-5.11,12,12,0,complete
Tulane,American Athletic,-1.09,12,12,0,complete
Tulsa,American Athletic,-4.31,12,12,0,complete
UAB,American Athletic,-8.26,12,12,0,complete
UTSA,American Athletic,0.51,12,12,0,complete
Arizona,Big 12,6.26,12,12,0,complete
Arizona State,Big 12,2.17,12,12,0,complete
BYU,Big 12,9.85,12,12,0,complete
Baylor,Big 12,4.66,12,12,0,complete
Cincinnati,Big 12,-0.17,12,12,0,complete
Colorado,Big 12,-4.13,12,12,0,complete
Houston,Big 12,5.45,12,12,0,complete
Iowa State,Big 12,6.03,12,12,0,complete
Kansas,Big 12,-3.18,12,12,0,complete
Kansas State,Big 12,8.75,12,12,0,complete
Oklahoma State,Big 12,-2.35,12,12,0,complete
TCU,Big 12,3.77,12,12,0,complete
Texas Tech,Big 12,11.14,12,12,0,complete
UCF,Big 12,1.64,12,12,0,complete
Utah,Big 12,14.57,12,12,0,complete
West Virginia,Big 12,1.72,12,12,0,complete
Illinois,Big Ten,4.47,12,12,0,complete
Indiana,Big Ten,22.36,12,12,0,complete
Iowa,Big Ten,11.25,12,12,0,complete
Maryland,Big Ten,3.35,12,12,0,complete
Michigan,Big Ten,11.11,12,12,0,complete
Michigan State,Big Ten,3.05,12,12,0,complete
Minnesota,Big Ten,0.64,12,12,0,complete
Nebraska,Big Ten,10.17,12,12,0,complete
Northwestern,Big Ten,6.38,12,12,0,complete
Ohio State,Big Ten,21.38,12,12,0,complete
Oregon,Big Ten,14.08,12,12,0,complete
Penn State,Big Ten,17.05,12,12,0,complete
Purdue,Big Ten,-4.68,12,12,0,complete
