team,record,rating,elo,opp_win_pct,avg_margin,quality_wins
Ohio State,3-0,100.0,1581.1,0.444,12.7,2
Ole Miss,3-0,90.83,1570.2,0.222,9.0,2
Texas,3-0,85.9,1559.1,0.278,4.3,2
Alabama,2-1,72.12,1541.7,0.556,7.7,1
Georgia,2-1,69.67,1530.2,0.667,5.7,2
Penn State,2-1,66.8,1534.9,0.444,5.0,1
Tennessee,2-1,62.15,1535.8,0.222,4.7,0
Utah,1-0,62.04,1524.4,0.0,4.0,0
Notre Dame,2-1,58.22,1524.3,0.333,2.3,0
Clemson,2-1,50.3,1511.9,0.222,0.3,0
Oklahoma,1-1,49.93,1510.4,0.5,3.0,0
Oregon,1-2,36.91,1490.5,0.556,3.3,0
LSU,0-1,32.87,1487.3,1.0,-3.0,0
Michigan,0-1,27.07,1476.1,1.0,-7.0,0
Florida State,0-1,24.36,1481.0,0.667,-4.0,0
Tulane,0-1,19.92,1464.4,1.0,-21.0,0
Louisville,0-1,19.41,1472.0,0.667,-10.0,0
Michigan State,0-1,19.23,1464.7,1.0,-28.0,0
Florida,0-1,17.73,1469.4,0.667,-14.0,0
West Virginia,0-1,17.44,1468.8,0.667,-14.0,0
Kansas State,0-1,16.68,1471.7,0.5,-9.0,0
USC,0-2,14.9,1455.4,0.833,-4.0,0
Wisconsin,0-1,14.18,1463.9,0.667,-22.0,0
Boise State,0-1,10.72,1466.7,0.333,-17.0,0
NC State,0-2,6.31,1444.1,0.667,-9.0,0
