team,conference,record,fbs_record,rating,football_rating,market_rating,market_gap,rating_confidence,early_season_rating_scale,efficiency_score,market_score,schedule_score,avg_team_postgame_elo,fbs_win_pct,fbs_avg_margin,fbs_avg_opponent_pregame_elo,avg_cover_margin,offense_ppa,defense_ppa_allowed,wepa_total,wepa_allowed_total,talent,ap_latest_rank,cfp_latest_rank
Indiana,Big Ten,3-0,2-0,22.36,20.69,24.87,4.18,Medium,1.0,98.02,50.84,92.04,2122.0,1.0,37.0,1444.5,-4.333,0.482067,-0.223875,0.0,0.0,735.26,5,
Notre Dame,FBS Independents,3-0,3-0,22.27,20.47,24.98,4.52,Medium,1.0,82.12,65.36,92.44,2050.67,1.0,32.333,1408.333,0.944,0.316346,-0.144442,0.0,0.0,953.03,3,
Ohio State,Big Ten,2-1,2-1,21.38,17.84,26.7,8.87,Medium,1.0,88.52,65.01,95.0,2000.33,0.6667,36.0,1380.667,2.556,0.3517,-0.208673,0.0,0.0,964.27,7,
Georgia,SEC,3-0,2-0,21.34,19.58,23.96,4.38,Medium,1.0,100.0,60.26,92.35,1930.33,1.0,39.0,1408.5,7.944,0.550681,-0.088289,0.0,0.0,1003.67,2,
Texas,SEC,3-0,3-0,20.43,18.84,22.82,3.98,Medium,1.0,61.57,64.64,100.0,1921.33,1.0,25.667,1693.667,5.167,0.135123,-0.008348,0.0,0.0,985.17,1,
Miami,ACC,3-0,2-0,19.17,18.16,20.69,2.53,Medium,1.0,90.28,52.97,79.89,1908.67,1.0,26.0,1460.5,5.889,0.45327,-0.034534,0.0,0.0,885.94,6,
Alabama,SEC,3-0,3-0,19.11,19.94,17.88,-2.06,Medium,1.0,78.09,59.46,92.3,1848.33,1.0,26.667,1531.667,8.278,0.276937,-0.112832,0.0,0.0,973.53,8,
LSU,SEC,2-1,2-1,17.12,16.37,18.24,1.87,Medium,1.0,75.73,63.81,92.82,1775.0,0.6667,21.333,1658.333,5.5,0.213128,-0.147851,0.0,0.0,931.76,10,
Penn State,Big Ten,3-0,3-0,17.05,17.6,16.21,-1.39,Medium,1.0,79.88,41.37,93.48,1901.33,1.0,35.0,1377.0,5.889,0.347806,-0.128661,0.0,0.0,774.04,13,
USC,Big Ten,4-0,4-0,15.24,12.91,18.75,5.84,High,1.0,73.17,86.84,79.24,1810.25,1.0,20.25,1425.75,-7.458,0.317215,0.113615,0.0,0.0,899.0,12,
Ole Miss,SEC,3-0,3-0,14.73,13.98,15.86,1.88,Medium,1.0,61.75,71.59,79.21,1849.0,1.0,14.333,1547.333,-1.722,0.288658,0.171021,0.0,0.0,885.72,4,
Utah,Big 12,3-0,2-0,14.57,16.55,11.59,-4.96,Medium,1.0,78.32,17.74,88.12,1866.0,1.0,33.0,1464.0,13.611,0.332625,-0.060549,0.0,0.0,695.72,15,
Oregon,Big Ten,2-1,1-1,14.08,7.67,23.69,16.03,Low,1.0,77.06,96.0,45.64,1840.67,0.5,-0.5,1387.0,-8.056,0.291979,-0.11093,0.0,0.0,984.33,20,
Tennessee,SEC,3-0,2-0,14.08,13.85,14.44,0.59,Medium,1.0,81.82,69.8,79.9,1730.33,1.0,27.0,1440.0,1.222,0.369723,-0.069395,0.0,0.0,885.9,14,
Texas A&M,SEC,2-1,2-1,13.55,11.17,17.13,5.97,Medium,1.0,64.1,74.64,84.18,1854.33,0.6667,22.667,1465.667,-0.889,0.11141,-0.086099,0.0,0.0,933.0,23,
Florida,SEC,3-0,2-0,13.25,12.69,14.09,1.4,Medium,1.0,82.4,61.96,79.48,1665.0,1.0,25.0,1481.5,6.278,0.431099,-0.081239,0.0,0.0,891.07,21,
Oklahoma,SEC,2-1,2-1,12.46,10.09,16.02,5.92,Medium,1.0,63.82,77.43,79.81,1788.0,0.6667,17.333,1500.0,-5.056,0.050171,-0.230797,0.0,0.0,851.14,24,
Mississippi State,SEC,3-0,3-0,12.03,14.96,7.65,-7.3,Medium,1.0,86.15,27.57,89.28,1629.67,1.0,27.0,1476.333,18.611,0.46249,-0.017813,0.0,0.0,804.53,24,
Iowa,Big Ten,3-0,2-0,11.25,10.89,11.8,0.91,Medium,1.0,80.39,40.08,74.26,1844.33,1.0,21.5,1454.0,4.944,0.213827,-0.248233,0.0,0.0,722.73,17,
Texas Tech,Big 12,3-0,2-0,11.14,7.87,16.05,8.18,Medium,1.0,58.49,85.71,53.67,1852.0,1.0,6.5,1387.0,-14.167,0.24315,0.095568,0.0,0.0,767.89,11,
Michigan,Big Ten,3-0,3-0,11.11,9.12,14.1,4.98,Medium,1.0,65.99,83.65,76.29,1707.67,1.0,14.333,1497.333,-4.611,0.182868,-0.130115,0.0,0.0,890.02,18,
Nebraska,Big Ten,3-0,2-0,10.17,10.89,9.07,-1.82,Medium,1.0,81.56,48.11,88.76,1670.67,1.0,38.5,1356.0,7.5,0.470579,0.025326,0.0,0.0,787.45,,
BYU,Big 12,3-0,2-0,9.85,9.31,10.67,1.35,Medium,1.0,95.3,45.87,67.49,1680.33,1.0,14.5,1480.5,3.5,0.448038,-0.060616,0.0,0.0,689.42,9,
Louisville,ACC,2-1,1-1,9.74,9.59,9.96,0.37,Medium,1.0,77.88,46.3,69.73,1675.33,0.5,3.5,1783.5,5.889,0.436973,0.077685,0.0,0.0,739.97,16,
South Carolina,SEC,2-1,1-1,8.88,8.74,9.1,0.37,Medium,1.0,73.51,67.63,75.7,1742.0,0.5,25.0,1404.5,0.889,0.326147,0.036635,0.0,0.0,862.87,,
SMU,ACC,2-1,1-1,8.88,7.21,11.39,4.18,Medium,1.0,67.07,55.1,53.04,1722.67,0.5,-3.5,1609.5,2.167,0.274206,0.071077,0.0,0.0,764.5,22,
Kansas State,Big 12,3-0,2-0,8.75,8.58,9.0,0.42,Medium,1.0,88.39,38.14,76.73,1664.0,1.0,19.0,1564.5,8.833,0.342507,-0.161061,0.0,0.0,718.67,,
Missouri,SEC,3-0,2-0,8.28,7.77,9.04,1.26,Medium,1.0,65.53,79.98,65.54,1682.33,1.0,13.5,1465.0,-6.5,0.229692,-0.073509,0.0,0.0,808.36,19,
Auburn,SEC,2-1,2-1,7.74,6.03,10.3,4.27,Medium,1.0,55.85,73.29,71.93,1653.0,0.6667,10.333,1504.667,-1.889,0.144394,0.036277,0.0,0.0,828.19,,
Washington,Big Ten,3-0,2-0,7.14,4.18,11.59,7.42,Medium,1.0,74.47,93.37,60.75,1757.0,1.0,8.0,1497.5,-15.556,0.172742,-0.214375,0.0,0.0,777.63,19,
Virginia Tech,ACC,3-0,2-0,6.77,6.62,7.0,0.39,Medium,1.0,77.36,50.69,65.76,1459.33,1.0,16.0,1415.5,9.111,0.344343,-0.037028,0.0,0.0,769.12,,
UCLA,Big Ten,3-0,3-0,6.43,6.98,5.6,-1.38,Medium,1.0,76.58,53.53,75.31,1475.67,1.0,17.667,1416.667,7.778,0.355201,0.01974,0.0,0.0,774.45,,
Northwestern,Big Ten,2-0,1-0,6.38,9.15,2.24,-6.91,Low,1.0,72.68,21.35,82.38,1587.0,1.0,34.0,1406.0,16.5,0.326932,-0.003963,0.0,0.0,688.32,,
Arizona,Big 12,2-1,1-1,6.26,4.55,8.84,4.29,Medium,1.0,68.71,69.73,58.01,1622.33,0.5,7.0,1466.0,-6.056,0.23011,0.036081,0.0,0.0,699.59,,
Pittsburgh,ACC,3-0,3-0,6.17,7.17,4.65,-2.52,Medium,1.0,66.33,30.58,77.27,1678.0,1.0,21.333,1372.0,9.944,0.179841,-0.080734,0.0,0.0,675.02,,
Duke,ACC,3-0,3-0,6.09,8.13,3.04,-5.09,Medium,1.0,59.61,29.13,77.53,1625.33,1.0,15.333,1501.333,11.222,0.203041,-0.060255,0.0,0.0,668.47,,
Iowa State,Big 12,2-1,1-1,6.03,8.79,1.9,-6.89,Medium,1.0,64.62,28.89,79.36,1619.0,0.5,22.5,1537.0,11.5,0.217225,-0.155343,0.0,0.0,669.55,,
James Madison,Sun Belt,3-0,2-0,5.99,8.56,2.15,-6.4,Medium,1.0,88.89,0.0,67.58,1776.33,1.0,10.0,1586.0,18.111,0.357409,-0.205332,0.0,0.0,588.31,,
